case	classification	owner	cause	context	fallback	expected
owned	declared	clear	preserved	complete	none	allow
contradictory	contradictory	clear	preserved	complete	none	typed-invalid
missing_owner	declared	missing	preserved	complete	none	typed-unavailable
missing_cause	declared	clear	missing	complete	none	typed-unavailable
missing_context	declared	clear	preserved	missing	none	typed-unavailable
exception_default	declared	clear	preserved	complete	exception	typed-invalid
catch_everywhere	declared	clear	preserved	complete	catch-all	typed-invalid
duplicate_log	declared	clear	preserved	complete	duplicate	typed-invalid
swallowed	declared	clear	preserved	complete	swallow	typed-invalid
default_value	declared	clear	preserved	complete	default	typed-invalid
mandatory_trace	declared	clear	preserved	complete	trace-all	typed-invalid
context_free_wrap	declared	clear	preserved	complete	wrap	typed-invalid
