case	criticality	phase	outcome	retry	evidence	fallback	expected
required_startup_failure	required	startup	fail	none	complete	none	allow
required_runtime_failure	required	runtime	fail	bounded	complete	none	allow
best_effort_degrade	best-effort	runtime	degrade	bounded	complete	none	allow
recover_after_retry	required	recovery	recover	bounded	complete	none	allow
unsupported_mode	unknown	runtime	degrade	none	complete	none	typed-invalid
missing_criticality	missing	startup	fail	none	complete	none	typed-unavailable
missing_evidence	required	runtime	fail	bounded	missing	none	typed-unavailable
unbounded_retry	required	runtime	fail	unbounded	complete	none	typed-invalid
ignored_required_failure	required	runtime	ignore	none	complete	ignored-error	typed-invalid
alternate_dependency	required	recovery	recover	bounded	complete	alternate-dependency	typed-invalid
default_degradation	missing	startup	degrade	none	missing	default-success	typed-invalid
valid_best_effort_startup	best-effort	startup	degrade	none	complete	none	allow
