case	criticality	phase	failure	state_authority	degraded_contract	retry_contract	operation_safety	evidence	fallback	expected
required_startup_failure	required	startup	unavailable	authoritative	none	none	not-applicable	complete	none	propagate-failure
required_runtime_failure	required	runtime	unavailable	authoritative	none	none	not-applicable	complete	none	propagate-failure
required_transient_retry	required	runtime	transient	authoritative	none	bounded	safe	complete	none	retry-then-terminal
best_effort_runtime_degrade	best-effort	runtime	unavailable	authoritative	accepted	none	not-applicable	complete	none	degraded-outcome
best_effort_startup_degrade	best-effort	startup	unavailable	authoritative	accepted	none	not-applicable	complete	none	degraded-outcome
derived_state_rebuild	required	recovery	corrupt	disposable-derived	none	none	not-applicable	complete	none	rebuild-derived
unsupported_recovery_mode	required	recovery	unsupported	authoritative	none	none	not-applicable	complete	none	typed-unsupported
missing_criticality	missing	startup	unavailable	authoritative	none	none	not-applicable	complete	none	typed-unavailable
missing_evidence	required	runtime	unavailable	authoritative	none	none	not-applicable	missing	none	typed-unavailable
missing_degraded_contract	best-effort	runtime	unavailable	authoritative	missing	none	not-applicable	complete	none	typed-unavailable
unbounded_retry	required	runtime	transient	authoritative	none	unbounded	safe	complete	none	typed-invalid
unsafe_retry	required	runtime	transient	authoritative	none	bounded	unsafe	complete	none	typed-invalid
delete_authoritative_store	required	recovery	corrupt	authoritative	none	none	not-applicable	complete	destructive-rebuild	typed-invalid
seed_defaults	required	recovery	corrupt	authoritative	none	none	not-applicable	complete	seed-defaults	typed-invalid
stale_cache_fallback	best-effort	runtime	unavailable	authoritative	accepted	none	not-applicable	complete	stale-read	typed-invalid
cached_service_fallback	best-effort	runtime	unavailable	authoritative	accepted	none	not-applicable	complete	cached-fallback	typed-invalid
partial_result_fallback	best-effort	runtime	unavailable	authoritative	accepted	none	not-applicable	complete	partial-result	typed-invalid
catch_all_safe_default	best-effort	runtime	unavailable	authoritative	accepted	none	not-applicable	complete	safe-default	typed-invalid
alternate_backend	required	recovery	unavailable	authoritative	none	none	not-applicable	complete	alternate-backend	typed-invalid
silent_log_continue	required	runtime	unavailable	authoritative	none	none	not-applicable	complete	silent-continue	typed-invalid
default_startup_success	missing	startup	unavailable	unknown	missing	none	not-applicable	missing	default-success	typed-invalid
