case	contract	history	duplicate	convergence	partial_state	boundary	substitute	expected
durable_replay	declared	authoritative	declared	proved	repaired	real	none	allow
duplicate_rejected	declared	authoritative	rejected	proved	repaired	real	none	allow
duplicate_idempotent	declared	authoritative	idempotent	proved	repaired	real	none	allow
unsupported_resume	unsupported	authoritative	declared	proved	repaired	real	none	typed-unsupported
missing_history	declared	missing	declared	proved	repaired	real	none	typed-unavailable
missing_boundary	declared	authoritative	declared	proved	repaired	missing	none	typed-unavailable
contradictory_duplicate	declared	authoritative	contradictory	proved	repaired	real	none	typed-invalid
unproved_convergence	declared	authoritative	declared	missing	repaired	real	none	typed-invalid
unrepaired_partial_state	declared	authoritative	declared	proved	unknown	real	none	typed-invalid
helper_only	declared	authoritative	declared	proved	repaired	helper	helper	typed-invalid
restart_smoke	declared	authoritative	declared	proved	repaired	real	restart	typed-invalid
empty_bootstrap	declared	missing	declared	proved	repaired	real	empty-state	typed-invalid
final_snapshot	declared	authoritative	declared	proved	repaired	real	snapshot	typed-invalid
inferred_position	declared	inferred	declared	proved	repaired	real	inferred-position	typed-invalid
