case	condition	facts	profile	capability	fallback	expected
no_language_change	none	complete	none	not-required	none	no-profile
rust_source	rust	complete	rust	available	none	route
rust_async	rust-async	complete	rust-async	available	none	route
rust_target	rust-target	complete	rust-cross-platform	available	none	route
csharp_async	csharp-async	complete	csharp-async	available	none	route
typescript_async	typescript-async	complete	typescript-async	available	none	route
unknown_condition	unknown	missing	none	not-required	none	typed-unavailable
missing_profile	rust	complete	missing	unavailable	none	typed-unavailable
unsupported_profile	other	complete	unsupported	unsupported	none	typed-unsupported
legacy_root_fallback	other	complete	missing	unavailable	legacy-root	typed-invalid
rust_location_fallback	other	complete	missing	unavailable	rust-layout	typed-invalid
nearby_language_fallback	other	complete	missing	unavailable	nearby-language	typed-invalid
inline_guidance_fallback	other	complete	missing	unavailable	inline	typed-invalid
