case	contract	resilience	outcome	mechanism	capability	fallback	expected
expected_absence	accepted	not-applicable	absent	option	supported	none	allow
operational_failure	accepted	accepted	failed	result	supported	none	allow
recoverable_propagation	accepted	accepted	recoverable	question-mark	supported	none	allow
declared_termination	accepted	accepted	terminal	panic	supported	none	allow
proved_impossible	accepted	not-applicable	impossible	unreachable	supported	none	allow
explicit_assertion	accepted	not-applicable	asserted	assert	supported	none	allow
contradictory_contract	contradictory	accepted	failed	result	supported	none	typed-invalid
contradictory_resilience	accepted	contradictory	failed	result	supported	none	typed-invalid
missing_contract	missing	accepted	failed	result	supported	none	typed-unavailable
missing_resilience	accepted	missing	failed	result	supported	none	typed-unavailable
unsupported_mechanism	accepted	accepted	failed	result	unsupported	none	typed-unsupported
option_erases_failure	accepted	accepted	failed	option	supported	erase-failure	typed-invalid
panic_without_contract	accepted	missing	terminal	panic	supported	path-label	typed-invalid
unwrap_exception	accepted	not-applicable	value	unwrap	supported	test-location	typed-invalid
expect_preference	accepted	not-applicable	value	expect	supported	preference	typed-invalid
error_crate_default	accepted	accepted	failed	error-type	supported	error-crate	typed-invalid
context_default	accepted	accepted	failed	error-type	supported	add-context	typed-invalid
infallible_claim	accepted	not-applicable	value	unwrap	supported	infallible-claim	typed-invalid
