case	dependencies	contracts	library	documentation	verification	mechanism	capability	fallback	expected
item_cfg	accepted	accepted	accepted	accepted	accepted	item-cfg	supported	none	allow
module_cfg	accepted	accepted	accepted	accepted	accepted	module-cfg	supported	none	allow
public_exposure	accepted	accepted	accepted	accepted	accepted	public-exposure	supported	none	allow
conflict_diagnostic	accepted	accepted	accepted	accepted	accepted	compile-error	supported	none	allow
contradictory_dependency	contradictory	accepted	accepted	accepted	accepted	item-cfg	supported	none	typed-invalid
contradictory_contract	accepted	contradictory	accepted	accepted	accepted	item-cfg	supported	none	typed-invalid
missing_dependency	missing	accepted	accepted	accepted	accepted	item-cfg	supported	none	typed-unavailable
missing_contract	accepted	missing	accepted	accepted	accepted	item-cfg	supported	none	typed-unavailable
missing_library	accepted	accepted	missing	accepted	accepted	item-cfg	supported	none	typed-unavailable
missing_documentation	accepted	accepted	accepted	missing	accepted	item-cfg	supported	none	typed-unavailable
missing_verification	accepted	accepted	accepted	accepted	missing	item-cfg	supported	none	typed-unavailable
unsupported_mechanism	accepted	accepted	accepted	accepted	accepted	item-cfg	unsupported	none	typed-unsupported
cfg_default	accepted	accepted	accepted	accepted	accepted	item-cfg	supported	cfg-default	typed-invalid
exclusive_default	accepted	accepted	accepted	accepted	accepted	compile-error	supported	exclusive-policy	typed-invalid
documentation_placement	accepted	accepted	accepted	accepted	accepted	public-exposure	supported	doc-placement	typed-invalid
command_matrix	accepted	accepted	accepted	accepted	accepted	public-exposure	supported	command-matrix	typed-invalid
