case	documentation	contracts	resilience	dependencies	unsafe	library	mechanism	capability	fallback	expected
crate_doc	accepted	accepted	not-applicable	not-applicable	not-applicable	accepted	crate-doc	supported	none	allow
error_section	accepted	accepted	accepted	not-applicable	not-applicable	accepted	heading	supported	none	allow
panic_section	accepted	accepted	accepted	not-applicable	not-applicable	accepted	heading	supported	none	allow
safety_section	accepted	accepted	not-applicable	not-applicable	accepted	accepted	heading	supported	none	allow
feature_doc	accepted	accepted	not-applicable	accepted	not-applicable	accepted	item-doc	supported	none	allow
external_example	accepted	accepted	not-applicable	not-applicable	not-applicable	accepted	doctest	supported	none	allow
contradictory_documentation	contradictory	accepted	not-applicable	not-applicable	not-applicable	accepted	item-doc	supported	none	typed-invalid
contradictory_content	accepted	contradictory	not-applicable	not-applicable	not-applicable	accepted	item-doc	supported	none	typed-invalid
missing_documentation	missing	accepted	not-applicable	not-applicable	not-applicable	accepted	item-doc	supported	none	typed-unavailable
missing_safety_owner	accepted	accepted	not-applicable	not-applicable	missing	accepted	heading	supported	none	typed-unavailable
missing_consumer	accepted	accepted	not-applicable	not-applicable	not-applicable	missing	doctest	supported	none	typed-unavailable
unsupported_rustdoc	accepted	accepted	not-applicable	not-applicable	not-applicable	accepted	intra-doc-link	unsupported	none	typed-unsupported
crate_doc_default	accepted	accepted	not-applicable	not-applicable	not-applicable	accepted	crate-doc	supported	crate-checklist	typed-invalid
errors_default	accepted	accepted	not-applicable	not-applicable	not-applicable	accepted	heading	supported	errors-checklist	typed-invalid
safety_default	accepted	accepted	not-applicable	not-applicable	not-applicable	accepted	heading	supported	safety-checklist	typed-invalid
feature_location	accepted	accepted	not-applicable	accepted	not-applicable	accepted	item-doc	supported	feature-location	typed-invalid
example_default	accepted	accepted	not-applicable	not-applicable	not-applicable	accepted	doctest	supported	example-checklist	typed-invalid
mechanics_default	accepted	accepted	not-applicable	not-applicable	not-applicable	accepted	item-doc	supported	mechanics-rule	typed-invalid
