case	operation	execution	isolation	capacity	guard	critical	invariant	mutex	fallback	expected
direct-nonblocking	nonblocking	direct	not-required	not-required	none	none	not-required	not-required	none	allow
equivalent-async-io	blocking-io	async-equivalent	not-required	not-required	none	none	not-required	not-required	none	allow
bounded-blocking-io	blocking-io	isolated	available	bounded	released	none	not-required	not-required	none	allow
bounded-cpu-work	cpu-heavy	isolated	available	bounded	released	none	not-required	not-required	none	allow
unavailable-isolation	blocking-io	isolated	unavailable	bounded	released	none	not-required	not-required	none	typed-unavailable
unavailable-capacity	cpu-heavy	isolated	available	unavailable	released	none	not-required	not-required	none	typed-unavailable
inline-blocking	blocking-io	inline-blocking	not-required	not-required	none	none	not-required	not-required	none	typed-invalid
unbounded-isolation	cpu-heavy	isolated	available	unbounded	released	none	not-required	not-required	none	typed-invalid
guard-held-blocking	blocking-io	isolated	available	bounded	held-supported	synchronous	preserved	sync-capable	none	typed-invalid
alternate-executor-fallback	blocking-io	isolated	unavailable	unavailable	released	none	not-required	not-required	alternate-executor	typed-invalid
new-thread-fallback	cpu-heavy	isolated	unavailable	unavailable	released	none	not-required	not-required	new-thread	typed-invalid
synchronous-critical-section	nonblocking	direct	not-required	not-required	held-supported	synchronous	preserved	sync-capable	none	allow
independent-suspending-sections	nonblocking	direct	not-required	not-required	released	suspending	preserved	sync-capable	none	allow
supported-suspended-guard	nonblocking	direct	not-required	not-required	held-supported	suspending	preserved	suspend-capable	none	allow
unsupported-suspended-guard	nonblocking	direct	not-required	not-required	held-unsupported	suspending	preserved	sync-capable	none	typed-invalid
split-related-invariant	nonblocking	direct	not-required	not-required	released	suspending	split	sync-capable	none	typed-invalid
unavailable-synchronization	nonblocking	direct	not-required	not-required	none	synchronous	preserved	unavailable	none	typed-unavailable
universal-mutex-fallback	nonblocking	direct	not-required	not-required	held-supported	suspending	preserved	suspend-capable	universal-mutex	typed-invalid
