case	language	suspends	async_contract	capability	fallback	expected
pure-parser	rust	no	no	available	none	sync
async-io-shell	rust	yes	yes	available	none	async
streaming-core	rust	yes	yes	available	none	async
backpressure-library-api	rust	yes	yes	available	none	async
non-suspending-caller-convenience	rust	no	no	available	async-for-caller	typed-invalid
genuine-async-forced-sync	rust	yes	yes	available	sync-default	typed-invalid
unknown-operation-contract	rust	unknown	unknown	available	none	typed-unavailable
required-async-capability-missing	rust	yes	yes	unavailable	none	typed-unavailable
required-sync-capability-missing	rust	no	no	unavailable	none	typed-unavailable
runtime-convenience-fallback	rust	yes	yes	unavailable	create-runtime	typed-invalid
blocking-fallback	rust	yes	yes	unavailable	block	typed-invalid
detached-work-fallback	rust	yes	yes	unavailable	detach	typed-invalid
generic-non-rust	other	yes	yes	available	none	not-applicable
