case	contract	task	authority	input	correlation	execution	ownership	cancellation	completion	capability	evidence	fallback	expected
inline_success	selected	supported	selected	validated	valid	inline	scoped	preserved	success	available	native-host	none	allow
async_success	selected	supported	selected	validated	valid	async	tracked	preserved	success	available	native-host	none	allow
host_failure	selected	supported	selected	validated	valid	async	tracked	preserved	failure	available	native-host	none	preserve-failure
unsupported_task	selected	unsupported	selected	validated	valid	inline	scoped	preserved	success	available	native-host	none	typed-unsupported
missing_contract	missing	supported	selected	validated	valid	inline	scoped	preserved	success	available	missing	none	typed-unavailable
missing_authority	selected	supported	missing	validated	valid	inline	scoped	preserved	success	available	missing	none	typed-unavailable
missing_capability	selected	supported	selected	validated	valid	async	tracked	preserved	success	unavailable	missing	none	typed-unavailable
native_only_evidence	selected	supported	selected	validated	valid	inline	scoped	preserved	success	available	native-only	none	typed-unavailable
contradictory_contract	contradictory	supported	wrong	invalid	mismatch	inline	scoped	preserved	success	available	native-host	none	typed-invalid
invalid_input	selected	supported	selected	invalid	valid	inline	scoped	preserved	success	available	native-host	none	typed-invalid
carried_input	selected	supported	selected	carried	valid	inline	scoped	preserved	success	available	native-host	none	typed-invalid
missing_correlation	selected	supported	selected	validated	missing	async	tracked	preserved	success	available	native-host	none	typed-invalid
mismatched_response	selected	supported	selected	validated	mismatch	async	tracked	preserved	success	available	native-host	none	typed-invalid
duplicate_completion	selected	supported	selected	validated	duplicate	async	tracked	preserved	success	available	native-host	none	typed-invalid
detached_work	selected	supported	selected	validated	valid	async	detached	preserved	success	available	native-host	none	typed-invalid
lost_cancellation	selected	supported	selected	validated	valid	async	tracked	lost	success	available	native-host	none	typed-invalid
unresolved_completion	selected	supported	selected	validated	valid	async	tracked	preserved	unresolved	available	native-host	none	typed-incomplete
noop_executor	selected	supported	selected	validated	valid	inline	scoped	preserved	failure	available	native-host	noop	typed-invalid
polling_substitute	selected	supported	selected	validated	valid	async	tracked	preserved	success	available	native-host	polling	typed-invalid
alternate_runtime	selected	supported	selected	validated	valid	async	tracked	preserved	success	available	native-host	alternate-runtime	typed-invalid
default_output	selected	supported	selected	validated	valid	inline	scoped	preserved	success	available	native-host	default-output	typed-invalid
default_success	selected	supported	selected	validated	valid	async	tracked	preserved	failure	available	native-host	default-success	typed-invalid
