case	contract	mechanism	value	evidence	fallback	expected
selected_supported	required	selected	supported	native-host	none	allow
not_required	not-required	none	not-applicable	not-required	none	no-discovery
unsupported_value	required	selected	unsupported	native-host	none	typed-unsupported
invalid_value	required	selected	invalid	native-host	none	typed-invalid
missing_contract	missing	none	unavailable	missing	none	typed-unavailable
contradictory_contract	contradictory	selected	invalid	native-host	none	typed-invalid
missing_mechanism	required	none	unavailable	missing	none	typed-unavailable
missing_evidence	required	selected	supported	missing	none	typed-unavailable
alternate_discovery	required	alternate	supported	native-host	guess	typed-invalid
universal_version	required	alternate	supported	native-host	universal-version	typed-invalid
package_version	required	alternate	supported	native-host	package-version	typed-invalid
stale_discovery	required	selected	supported	native-host	stale	typed-invalid
default_success	required	none	unavailable	missing	default-success	typed-invalid
