case	mechanism	representation	conversion	boundary	ownership	fallback	expected
uniffi_string_lift	framework	declared	infallible	native-host	not-required	none	allow
rustler_vec_lift	framework	declared	infallible	native-host	not-required	none	allow
extern_c_string_layout	c-abi	incompatible	not-required	not-checked	not-required	none	typed-unsupported
extern_c_vec_layout	c-abi	incompatible	not-required	not-checked	not-required	none	typed-unsupported
extern_c_option_layout	c-abi	incompatible	not-required	not-checked	not-required	none	typed-unsupported
fixed_width_c_abi	c-abi	declared	infallible	native-host	not-required	none	allow
checked_platform_width	c-abi	declared	checked-valid	native-host	not-required	none	allow
narrowing_rejected	c-abi	declared	rejected	native-host	not-required	none	typed-invalid
sign_change_rejected	c-abi	declared	rejected	native-host	not-required	none	typed-invalid
duration_narrowing_rejected	framework	declared	rejected	native-host	not-required	none	typed-invalid
non_utf8_path_rejected	framework	declared	rejected	native-host	not-required	none	typed-invalid
enum_variant_rejected	framework	declared	rejected	native-host	not-required	none	typed-invalid
serialized_dto	serialized	declared	schema-valid	native-host	not-required	none	allow
invalid_serialized_dto	serialized	declared	schema-invalid	native-host	not-required	none	typed-invalid
opaque_handle	opaque	declared	not-required	native-host	declared	none	allow
opaque_handle_missing_owner	opaque	declared	not-required	native-host	missing	none	typed-invalid
generated_wrapper	generated	declared	checked-valid	native-host	not-required	none	allow
unchecked_narrowing	c-abi	declared	unchecked	native-host	not-required	none	typed-invalid
fallible_from_impl	framework	declared	infallible-claim	native-host	not-required	none	typed-invalid
native_only_test	framework	declared	checked-valid	native-only	not-required	none	typed-invalid
lossy_path_fallback	framework	declared	rejected	native-host	not-required	lossy-path	typed-invalid
default_fallback	framework	declared	rejected	native-host	not-required	default	typed-invalid
json_abi_fallback	c-abi	undeclared	schema-valid	native-host	not-required	json-abi	typed-invalid
alternate_framework_fallback	framework	declared	rejected	native-host	not-required	alternate-framework	typed-invalid
incompatible_with_fallback	c-abi	incompatible	not-required	not-checked	not-required	alternate-framework	typed-invalid
