case	boundary	core_evidence	adapter_required	adapter_evidence	capability	fallback	expected
framework_free_core_only	selected	framework-free	no	not-required	not-required	none	allow
core_and_real_adapter	selected	framework-free	yes	native-host	available	none	allow
missing_boundary	missing	framework-free	no	not-required	not-required	none	typed-unavailable
contradictory_boundary	contradictory	framework-free	yes	native-host	available	none	typed-invalid
missing_core_evidence	selected	missing	no	not-required	not-required	none	typed-unavailable
failed_core_evidence	selected	failed	no	not-required	not-required	none	typed-invalid
missing_adapter_evidence	selected	framework-free	yes	missing	available	none	typed-unavailable
failed_adapter_evidence	selected	framework-free	yes	failed	available	none	typed-invalid
native_only_adapter	selected	framework-free	yes	native-only	available	none	typed-invalid
unavailable_host_capability	selected	framework-free	yes	missing	unavailable	none	typed-unavailable
unexpected_adapter_evidence	selected	framework-free	no	native-host	not-required	none	typed-invalid
nif_only_substitute	selected	framework-free	yes	native-only	available	nif-only	typed-invalid
native_only_substitute	selected	framework-free	yes	native-only	available	native-only	typed-invalid
skip_core_substitute	selected	missing	yes	native-host	available	skip-core	typed-invalid
alternate_framework_substitute	selected	framework-free	yes	missing	unavailable	alternate-framework	typed-invalid
default_success	selected	framework-free	yes	missing	unavailable	default-success	typed-invalid
