case	mechanism	contract	variants	discriminant	payload	unknown	conversion	capability	evidence	fallback	expected
framework_fieldless	framework	selected	complete	not-applicable	not-applicable	reject	checked	available	native-host	none	allow
framework_payload	framework	selected	complete	not-applicable	defined	contract-selected	checked	available	native-host	none	allow
wire_enum	wire	selected	complete	not-applicable	defined	reject	checked	available	native-host	none	allow
c_abi_fieldless	c-abi	selected	complete	defined	not-applicable	reject	checked	available	native-host	none	allow
c_abi_payload	c-abi	selected	complete	defined	defined	reject	checked	available	native-host	none	allow
opaque_enum	opaque	selected	complete	not-applicable	not-applicable	contract-selected	checked	available	native-host	none	allow
generated_wrapper	generated	selected	complete	defined	defined	reject	checked	available	native-host	none	allow
unsupported_framework_variant	framework	selected	unsupported	not-applicable	defined	reject	checked	available	native-host	none	typed-unsupported
unsupported_wire_variant	wire	selected	unsupported	not-applicable	defined	reject	checked	available	native-host	none	typed-unsupported
missing_contract	framework	missing	complete	not-applicable	defined	reject	checked	available	missing	none	typed-unavailable
missing_capability	generated	selected	complete	defined	defined	reject	checked	unavailable	missing	none	typed-unavailable
native_only_evidence	c-abi	selected	complete	defined	defined	reject	checked	available	native-only	none	typed-unavailable
contradictory_contract	c-abi	contradictory	mismatch	wrong	mismatch	sentinel	unchecked	available	native-host	none	typed-invalid
variant_mismatch	framework	selected	mismatch	not-applicable	defined	reject	checked	available	native-host	none	typed-invalid
implicit_abi_discriminant	c-abi	selected	complete	implicit	defined	reject	checked	available	native-host	none	typed-invalid
wrong_abi_discriminant	c-abi	selected	complete	wrong	defined	reject	checked	available	native-host	none	typed-invalid
payload_mismatch	framework	selected	complete	not-applicable	mismatch	reject	checked	available	native-host	none	typed-invalid
unknown_sentinel	framework	selected	complete	not-applicable	defined	sentinel	checked	available	native-host	unknown-sentinel	typed-invalid
omitted_variant	wire	selected	mismatch	not-applicable	defined	omit	checked	available	native-host	omit-variant	typed-invalid
unchecked_conversion	c-abi	selected	complete	defined	defined	reject	unchecked	available	native-host	none	typed-invalid
native_layout	c-abi	selected	complete	implicit	defined	reject	unchecked	available	native-host	native-layout	typed-invalid
assumed_name	framework	selected	mismatch	not-applicable	defined	reject	checked	available	native-host	assumed-name	typed-invalid
assumed_number	c-abi	selected	mismatch	implicit	defined	reject	checked	available	native-host	assumed-number	typed-invalid
alternate_mechanism	framework	selected	complete	not-applicable	defined	reject	checked	available	native-host	alternate-mechanism	typed-invalid
default_success	generated	selected	complete	defined	defined	reject	checked	available	native-host	default-success	typed-invalid
