case	contract	category	cancellation	context	sensitivity	mapping	capability	evidence	fallback	expected
typed_failure	selected	stable	not-applicable	bounded	safe	checked	available	native-host	none	allow
typed_cancellation	selected	stable	preserved	bounded	safe	checked	available	native-host	none	allow
intentional_collapse	selected	stable	not-applicable	bounded	safe	checked	available	native-host	none	allow
unsupported_category	selected	unsupported	not-applicable	not-required	safe	checked	available	native-host	none	typed-unsupported
contract_missing	missing	stable	not-applicable	bounded	safe	checked	available	missing	none	typed-unavailable
contract_contradictory	contradictory	wrong	not-applicable	bounded	safe	rejected	available	native-host	none	typed-invalid
capability_missing	selected	stable	not-applicable	bounded	safe	checked	unavailable	missing	none	typed-unavailable
category_collapsed	selected	collapsed	not-applicable	bounded	safe	checked	available	native-host	none	typed-invalid
cancellation_lost	selected	stable	lost	bounded	safe	checked	available	native-host	none	typed-invalid
unbounded_context	selected	stable	not-applicable	unbounded	safe	checked	available	native-host	none	typed-invalid
sensitive_context	selected	stable	not-applicable	bounded	sensitive	checked	available	native-host	none	typed-invalid
infallible_claim	selected	stable	not-applicable	bounded	safe	infallible-claim	available	native-host	none	typed-invalid
native_only_evidence	selected	stable	not-applicable	bounded	safe	checked	available	native-only	none	typed-unavailable
string_flatten	selected	collapsed	not-applicable	unbounded	safe	infallible-claim	available	native-host	string-flatten	typed-invalid
generic_error	selected	collapsed	lost	bounded	safe	checked	available	native-host	generic-error	typed-invalid
framework_default	selected	stable	not-applicable	bounded	safe	checked	available	native-host	named-framework	typed-invalid
drop_source_semantics	selected	collapsed	not-applicable	bounded	safe	checked	available	native-host	drop-semantics	typed-invalid
default_success	selected	stable	not-applicable	bounded	safe	checked	available	native-host	default-success	typed-invalid
