case	contract	mode	authority	capacity	overflow	ordering	thread	input_state	cancellation	shutdown	capability	evidence	delivery	fallback	expected
push_delivery	selected	push	selected	governed	selected	selected	valid	current	owned	owned	available	native-host	success	none	allow
pull_delivery	selected	pull	selected	governed	selected	selected	valid	current	owned	owned	available	native-host	success	none	allow
stream_delivery	selected	stream	selected	governed	selected	selected	valid	current	owned	owned	available	native-host	success	none	allow
provider_failure	selected	push	selected	governed	selected	selected	valid	current	owned	owned	available	native-host	failure	none	preserve-failure
unsupported_mode	selected	unsupported	selected	governed	selected	selected	valid	current	owned	owned	available	native-host	success	none	typed-unsupported
missing_contract	missing	push	selected	governed	selected	selected	valid	current	owned	owned	available	missing	success	none	typed-unavailable
missing_authority	selected	push	missing	governed	selected	selected	valid	current	owned	owned	available	missing	success	none	typed-unavailable
missing_capability	selected	push	selected	governed	selected	selected	valid	current	owned	owned	unavailable	missing	success	none	typed-unavailable
native_only_evidence	selected	push	selected	governed	selected	selected	valid	current	owned	owned	available	native-only	success	none	typed-unavailable
contradictory_contract	contradictory	push	wrong	governed	selected	contradictory	wrong	current	owned	owned	available	native-host	success	none	typed-invalid
unbounded_buffer	selected	pull	selected	unbounded	selected	selected	valid	current	owned	owned	available	native-host	success	none	typed-invalid
silent_overflow	selected	pull	selected	governed	silent	selected	valid	current	owned	owned	available	native-host	success	none	typed-invalid
wrong_thread	selected	push	selected	governed	selected	selected	wrong	current	owned	owned	available	native-host	success	none	typed-invalid
prior_event_state	selected	push	selected	governed	selected	selected	valid	carried	owned	owned	available	native-host	success	none	typed-invalid
lost_cancellation	selected	push	selected	governed	selected	selected	valid	current	lost	owned	available	native-host	success	none	typed-invalid
unresolved_shutdown	selected	stream	selected	governed	selected	selected	valid	current	owned	unresolved	available	native-host	success	none	typed-incomplete
push_to_pull	selected	push	selected	governed	selected	selected	valid	current	owned	owned	available	native-host	success	push-to-pull	typed-invalid
pull_to_push	selected	pull	selected	governed	selected	selected	valid	current	owned	owned	available	native-host	success	pull-to-push	typed-invalid
alternate_runtime	selected	push	selected	governed	selected	selected	valid	current	owned	owned	available	native-host	success	alternate-runtime	typed-invalid
detached_work	selected	push	selected	governed	selected	selected	valid	current	owned	owned	available	native-host	success	detached-work	typed-invalid
default_success	selected	push	selected	governed	selected	selected	valid	current	owned	owned	available	native-host	failure	default-success	typed-invalid
