case	upstream_outcome	input_scope	input_proof	lifecycle_state	delegate_capability	action	fallback	expected
local_success	local-success	current	valid	active	not-required	complete	none	allow-local
explicit_unsupported_delegate	explicit-unsupported	current	valid	active	available	delegate	none	allow-delegate
explicit_unsupported_no_delegate	explicit-unsupported	current	valid	active	not-required	return-outcome	none	preserve-outcome
delegate_capability_unavailable	explicit-unsupported	current	valid	active	unavailable	return-outcome	none	typed-unavailable
invalid_input_terminal	invalid	current	invalid	active	not-required	return-outcome	none	preserve-outcome
execution_failure_terminal	execution-failure	current	valid	active	not-required	return-outcome	none	preserve-outcome
cancellation_terminal	cancelled	current	valid	cancelled	not-required	return-outcome	none	preserve-outcome
resource_failure_terminal	resource-failure	current	valid	active	not-required	return-outcome	none	preserve-outcome
lifecycle_failure_terminal	lifecycle-failure	current	valid	unavailable	not-required	return-outcome	none	preserve-outcome
unavailable_terminal	unavailable	current	valid	active	not-required	return-outcome	none	preserve-outcome
delegate_invalid_input	invalid	current	invalid	active	available	delegate	none	typed-invalid
delegate_execution_failure	execution-failure	current	valid	active	available	delegate	none	typed-invalid
delegate_after_cancellation	cancelled	current	valid	cancelled	available	delegate	none	typed-invalid
delegate_resource_failure	resource-failure	current	valid	active	available	delegate	none	typed-invalid
delegate_lifecycle_failure	lifecycle-failure	current	valid	unavailable	available	delegate	none	typed-invalid
delegate_unavailable_outcome	unavailable	current	valid	active	available	delegate	none	typed-invalid
delegate_prior_input	explicit-unsupported	retained-prior	valid	active	available	delegate	none	typed-invalid
delegate_invalid_current_input	explicit-unsupported	current	invalid	active	available	delegate	none	typed-invalid
delegate_local_success	local-success	current	valid	active	available	delegate	none	typed-invalid
catch_all_fallback	execution-failure	current	valid	active	available	delegate	catch-all	typed-invalid
retry_fallback	execution-failure	current	valid	active	available	retry	retry	typed-invalid
carry_forward_fallback	explicit-unsupported	retained-prior	valid	active	available	delegate	carry-forward	typed-invalid
default_input_fallback	explicit-unsupported	current	invalid	active	available	delegate	default-input	typed-invalid
alternate_executor_fallback	explicit-unsupported	current	valid	active	available	alternate-executor	alternate-executor	typed-invalid
detached_delegation	explicit-unsupported	current	valid	active	available	detached	detach	typed-invalid
