case	runtime_owner	runtime_capability	handle_owner	request_state	execution	task_owner	fallback	expected
shared_runtime_across_calls	composition	shared-injected	declared	current-only	scoped-await	scope	none	allow
shared_runtime_across_workflows	composition	shared-injected	declared	current-only	tracked-submit	lifecycle	none	allow
workflow_persistence_hint	composition	shared-injected	declared	current-only	tracked-submit	lifecycle	none	allow
call_injected_runtime	composition	call-injected	declared	current-only	scoped-await	scope	none	allow
host_handle_released	composition	shared-injected	declared	not-required	not-required	not-required	none	allow
binding_owned_runtime	binding	shared-injected	declared	current-only	scoped-await	scope	none	typed-invalid
request_owned_runtime	request	call-injected	declared	current-only	scoped-await	scope	none	typed-invalid
missing_runtime_capability	missing	unavailable	declared	current-only	scoped-await	scope	none	typed-unavailable
missing_handle_owner	composition	shared-injected	missing	current-only	scoped-await	scope	none	typed-invalid
retained_prior_input	composition	shared-injected	declared	retained-input	scoped-await	scope	none	typed-invalid
retained_prior_cancellation	composition	shared-injected	declared	retained-cancellation	scoped-await	scope	none	typed-invalid
retained_prior_result	composition	shared-injected	declared	retained-result	scoped-await	scope	none	typed-invalid
synchronous_runtime_driver	composition	shared-injected	declared	current-only	sync-drive	scope	none	typed-invalid
runtime_creation_in_adapter	binding	unavailable	declared	current-only	create-runtime	scope	none	typed-invalid
detached_host_work	composition	shared-injected	declared	current-only	detached	missing	none	typed-invalid
tracked_submit_missing_owner	composition	shared-injected	declared	current-only	tracked-submit	missing	none	typed-invalid
embedded_runtime_fallback	binding	unavailable	declared	current-only	create-runtime	scope	embedded-runtime	typed-invalid
alternate_runtime_fallback	composition	unavailable	declared	current-only	create-runtime	scope	alternate-runtime	typed-invalid
blocking_fallback	composition	shared-injected	declared	current-only	sync-drive	scope	block	typed-invalid
carry_forward_fallback	composition	shared-injected	declared	retained-input	scoped-await	scope	carry-forward	typed-invalid
detached_fallback	composition	shared-injected	declared	current-only	detached	missing	detach	typed-invalid
alternate_binding_fallback	composition	unavailable	declared	current-only	not-required	not-required	alternate-binding	typed-invalid
