case	conversion	arithmetic	limit	zero	fallback	expected
valid_bounded	valid	checked	within	not-zero	none	allow
valid_zero	valid	checked	within	permitted	none	allow
negative_dimension	negative	not-checked	not-checked	not-zero	none	typed-invalid
too_wide_dimension	too-wide	not-checked	not-checked	not-zero	none	typed-invalid
unchecked_conversion	unchecked	checked	within	not-zero	none	typed-invalid
multiplication_overflow	valid	overflow	not-checked	not-zero	none	typed-invalid
addition_overflow	valid	overflow	not-checked	not-zero	none	typed-invalid
unchecked_arithmetic	valid	unchecked	within	not-zero	none	typed-invalid
resource_limit_exceeded	valid	checked	exceeded	not-zero	none	typed-invalid
resource_limit_not_checked	valid	checked	not-checked	not-zero	none	typed-invalid
zero_forbidden	valid	checked	within	forbidden	none	typed-invalid
zero_fallback	negative	not-checked	not-checked	not-zero	zero	typed-invalid
clamp_fallback	valid	overflow	not-checked	not-zero	clamp	typed-invalid
saturating_fallback	valid	overflow	not-checked	not-zero	saturate	typed-invalid
wrapping_fallback	valid	overflow	not-checked	not-zero	wrap	typed-invalid
truncating_fallback	too-wide	not-checked	not-checked	not-zero	truncate	typed-invalid
smaller_default_fallback	valid	checked	exceeded	not-zero	smaller-default	typed-invalid
