case	contract	tooling	finding_owner	capability	evidence	fallback	expected
advisory_adapter	accepted	accepted	known	supported	complete	none	allow
license_adapter	accepted	accepted	known	supported	complete	none	allow
unused_adapter	accepted	accepted	known	supported	complete	none	allow
missing_contract	missing	accepted	known	supported	complete	none	typed-unavailable
missing_tooling	accepted	missing	known	supported	complete	none	typed-unavailable
unknown_owner	accepted	accepted	unknown	supported	complete	none	typed-unavailable
unsupported_adapter	accepted	accepted	known	unsupported	complete	none	typed-unsupported
incomplete_evidence	accepted	accepted	known	supported	incomplete	none	typed-unavailable
contradictory_contract	contradictory	accepted	known	supported	complete	none	typed-invalid
product_default	accepted	accepted	known	supported	complete	product	typed-invalid
nightly_schedule	accepted	accepted	known	supported	complete	nightly	typed-invalid
empty_result	accepted	accepted	known	supported	complete	empty-result	typed-invalid
