case	dependencies	consumer	resolver	target	mechanism	capability	fallback	expected
selected_features	accepted	known	known	known	dependency-features	supported	none	allow
optional_dependency	accepted	known	known	known	optional-dependency	supported	none	allow
dependency_forwarding	accepted	known	known	known	dep-forward	supported	none	allow
target_dependency	accepted	known	known	known	target-dependency	supported	none	allow
contradictory_contract	contradictory	known	known	known	dependency-features	supported	none	typed-invalid
missing_contract	missing	known	known	known	dependency-features	supported	none	typed-unavailable
unknown_consumer	accepted	unknown	known	known	dependency-features	supported	none	typed-unavailable
unknown_resolver	accepted	known	unknown	known	dependency-features	supported	none	typed-unavailable
unknown_target	accepted	known	known	unknown	target-dependency	supported	none	typed-unavailable
unsupported_mechanism	accepted	known	known	known	dep-forward	unsupported	none	typed-unsupported
full_feature_default	accepted	known	known	known	dependency-features	supported	full-features	typed-invalid
minimal_feature_default	accepted	known	known	known	dependency-features	supported	minimal-features	typed-invalid
optional_category	accepted	known	known	known	optional-dependency	supported	dependency-category	typed-invalid
dep_syntax_default	accepted	known	known	known	dep-forward	supported	dep-syntax	typed-invalid
cfg_fallback	accepted	known	known	known	item-cfg	supported	cfg	typed-invalid
