case	contract	capacity	overload	ownership	telemetry	input_state	capability	evidence	fallback	expected
reject_selected	selected	available	reject	declared	emitted	current	available	rust-operation	none	typed-overload
retain_selected	selected	available	retain	declared	not-required	current	available	rust-operation	none	allow
evict_selected	selected	available	evict	declared	emitted	current	available	rust-operation	none	allow
missing_contract	missing	missing	missing	missing	missing	current	unavailable	missing	none	typed-unavailable
contradictory_contract	contradictory	available	reject	declared	emitted	current	available	rust-operation	none	typed-invalid
unsupported_overload	selected	available	unsupported	declared	not-required	current	available	rust-operation	none	typed-unsupported
missing_capacity	selected	missing	reject	declared	emitted	current	unavailable	missing	none	typed-unavailable
missing_telemetry	selected	available	evict	declared	missing	current	unavailable	missing	none	typed-unavailable
missing_ownership	selected	available	retain	missing	not-required	current	unavailable	missing	none	typed-unavailable
fixed_capacity	selected	fixed	reject	declared	emitted	current	available	rust-operation	fixed-capacity	typed-invalid
default_reject	selected	available	default-reject	declared	emitted	current	available	rust-operation	default-overflow	typed-invalid
drop_oldest	selected	available	default-evict	declared	emitted	current	available	rust-operation	drop-oldest	typed-invalid
unbounded	selected	unbounded	retain	declared	not-required	current	available	rust-operation	unbounded	typed-invalid
silent_discard	selected	available	evict	declared	silent	current	available	rust-operation	silent-discard	typed-invalid
alternate_runtime	selected	available	reject	declared	emitted	current	available	rust-operation	alternate-runtime	typed-invalid
alternate_queue	selected	available	reject	declared	emitted	current	available	rust-operation	alternate-queue	typed-invalid
prior_input	selected	available	retain	declared	not-required	prior	available	rust-operation	prior-input	typed-invalid
weaker_evidence	selected	available	retain	declared	not-required	current	available	producer-only	weaker-evidence	typed-invalid
