case	target	containment	mutation	use_authority	fallback	expected
existing_held_file	existing	proven	concurrent	held-file	none	allow
existing_relative_use	existing	proven	concurrent	handle-relative	none	allow
creation_relative_use	create	proven	concurrent	handle-relative	none	allow
excluded_mutation_revalidated	existing	proven	excluded	revalidated-path	none	allow
excluded_creation_revalidated	create	proven	excluded	revalidated-path	none	allow
escaped_candidate	existing	escaped	concurrent	held-file	none	typed-invalid
unproven_candidate	existing	unproven	excluded	revalidated-path	none	typed-invalid
unknown_containment	existing	unknown	concurrent	held-file	none	typed-unavailable
unknown_mutation	existing	proven	unknown	held-file	none	typed-unavailable
authority_mechanism_unavailable	existing	proven	concurrent	unavailable	none	typed-unsupported
plain_path_concurrent	existing	proven	concurrent	plain-path	none	typed-invalid
stale_path_excluded	existing	proven	excluded	plain-path	none	typed-invalid
revalidate_concurrent	existing	proven	concurrent	revalidated-path	none	typed-invalid
unanchored_creation	create	proven	concurrent	plain-path	none	typed-invalid
plain_path_fallback	existing	proven	concurrent	plain-path	plain-path	typed-invalid
revalidation_fallback	existing	proven	concurrent	revalidated-path	revalidate	typed-invalid
lexical_fallback	existing	proven	concurrent	plain-path	lexical	typed-invalid
alternate_root_fallback	existing	proven	concurrent	handle-relative	alternate-root	typed-invalid
unanchored_creation_fallback	create	proven	concurrent	plain-path	unanchored-create	typed-invalid
