case	conversion	arithmetic	pointer	alignment	allocation	initialized	extent	lifetime	copy	expected
valid_borrow	valid	valid	valid	valid	single	full	valid	valid	none	allow
valid_copy	valid	valid	valid	valid	single	full	valid	valid	after-proof	allow
valid_zero_extent	valid	valid	valid	valid	single	not-required	zero	valid	none	allow
negative_dimension	negative	not-checked	valid	valid	single	full	valid	valid	none	typed-invalid
too_wide_dimension	too-wide	not-checked	valid	valid	single	full	valid	valid	none	typed-invalid
arithmetic_overflow	valid	overflow	valid	valid	single	full	valid	valid	none	typed-invalid
arithmetic_not_checked	valid	not-checked	valid	valid	single	full	valid	valid	none	typed-invalid
null_pointer	valid	valid	null	valid	single	full	valid	valid	none	typed-invalid
invalid_zero_pointer	valid	valid	null	valid	single	not-required	zero	valid	none	typed-invalid
misaligned_pointer	valid	valid	valid	invalid	single	full	valid	valid	none	typed-invalid
split_allocation	valid	valid	valid	valid	split	full	valid	valid	none	typed-invalid
unknown_pointer	valid	valid	unknown	valid	single	full	valid	valid	none	typed-unavailable
unknown_alignment	valid	valid	valid	unknown	single	full	valid	valid	none	typed-unavailable
unknown_provenance	valid	valid	valid	valid	unknown	full	valid	valid	none	typed-unavailable
unknown_initialization	valid	valid	valid	valid	single	unknown	valid	valid	none	typed-unavailable
unknown_extent	valid	valid	valid	valid	single	full	unknown	valid	none	typed-unavailable
unknown_lifetime	valid	valid	valid	valid	single	full	valid	unknown	none	typed-unavailable
invalid_precedes_unavailable	valid	valid	null	valid	unknown	full	valid	valid	none	typed-invalid
partial_initialization	valid	valid	valid	valid	single	partial	valid	valid	none	typed-invalid
extent_too_large	valid	valid	valid	valid	single	full	too-large	valid	none	typed-invalid
expired_lifetime	valid	valid	valid	valid	single	full	valid	expired	none	typed-invalid
copy_before_proof	valid	valid	valid	valid	single	full	valid	valid	before-proof	typed-invalid
