case	exposure	exposure_contract	capacity	admission	tracking	outcome	shutdown	cancellation	drain	abort	capability	fallback	expected
local-active	local	declared	available	before-accept	registered	observed-success	active	not-required	not-required	none	available	none	allow
declared-remote-active	remote	declared	available	before-accept	registered	observed-success	active	not-required	not-required	none	available	none	allow
observed-connection-failure	local	declared	available	before-accept	registered	observed-failure	active	not-required	not-required	none	available	none	allow
observed-connection-panic	local	declared	available	before-accept	registered	observed-panic	active	not-required	not-required	none	available	none	allow
observed-connection-cancellation	local	declared	available	before-accept	registered	observed-cancel	active	not-required	not-required	none	available	none	allow
capacity-overload	local	declared	full	before-accept	not-required	not-required	active	not-required	not-required	none	available	none	typed-overload
ordered-complete-shutdown	local	declared	available	closed	registered	observed-cancel	ordered	signalled	complete	none	available	none	allow
ordered-incomplete-shutdown	local	declared	available	closed	registered	observed-cancel	ordered	signalled	incomplete	none	available	none	typed-incomplete
authorized-safe-abort-after-drain	local	declared	available	closed	registered	observed-cancel	ordered	signalled	incomplete	authorized-safe	available	none	typed-incomplete
unknown-exposure	unknown	missing	available	before-accept	registered	observed-success	active	not-required	not-required	none	available	none	typed-unavailable
missing-capacity	local	declared	missing	before-accept	registered	observed-success	active	not-required	not-required	none	available	none	typed-unavailable
missing-task-registration	local	declared	available	before-accept	missing	observed-success	active	not-required	not-required	none	available	none	typed-unavailable
missing-shutdown-cancellation	local	declared	available	closed	registered	observed-cancel	ordered	missing	complete	none	available	none	typed-unavailable
missing-shutdown-drain	local	declared	available	closed	registered	observed-cancel	ordered	signalled	missing	none	available	none	typed-unavailable
unsupported-lifecycle-capability	local	declared	available	before-accept	registered	observed-success	active	not-required	not-required	none	unsupported	none	typed-unsupported
unavailable-lifecycle-capability	local	declared	available	before-accept	registered	observed-success	active	not-required	not-required	none	unavailable	none	typed-unavailable
broad-bind-fallback	broad	declared	available	before-accept	registered	observed-success	active	not-required	not-required	none	available	broad-bind	typed-invalid
fixed-default-capacity	local	declared	default	before-accept	registered	observed-success	active	not-required	not-required	none	available	default-capacity	typed-invalid
accept-before-capacity	local	declared	available	after-accept	registered	observed-success	active	not-required	not-required	none	available	accept-first	typed-invalid
detached-connection-work	local	declared	available	before-accept	detached	discarded	active	not-required	not-required	none	available	detached-work	typed-invalid
discarded-connection-outcome	local	declared	available	before-accept	discarded	discarded	active	not-required	not-required	none	available	discard-outcome	typed-invalid
leaf-logging-as-owner	local	declared	available	before-accept	detached	leaf-logged	active	not-required	not-required	none	available	leaf-logging	typed-invalid
shutdown-admission-open	local	declared	available	open	registered	observed-cancel	open-admission	signalled	incomplete	none	available	open-admission	typed-invalid
unauthorized-force-abort	local	declared	available	closed	registered	observed-cancel	ordered	signalled	incomplete	unauthorized	available	force-abort	typed-invalid
unsafe-force-abort	local	declared	available	closed	registered	observed-cancel	ordered	signalled	incomplete	authorized-unsafe	available	force-abort	typed-invalid
alternate-runtime-fallback	local	declared	available	before-accept	registered	observed-success	active	not-required	not-required	none	unavailable	alternate-runtime	typed-invalid
