case	procedure	tool	capability	evidence	fallback	expected
accepted	accepted	selected	supported	complete	none	allow
missing_procedure	missing	selected	supported	complete	none	typed-unavailable
missing_tool	accepted	missing	supported	complete	none	typed-unavailable
contradictory	contradictory	selected	supported	complete	none	typed-invalid
unsupported	accepted	selected	unsupported	complete	none	typed-unsupported
incomplete	accepted	selected	supported	incomplete	none	typed-unavailable
cargo_release	accepted	selected	supported	complete	cargo-release	typed-invalid
installed_tool	accepted	selected	supported	complete	installed-tool	typed-invalid
cadence	accepted	selected	supported	complete	stable-cadence	typed-invalid
manual	accepted	selected	supported	complete	manual-acceptable	typed-invalid
shared_version	accepted	selected	supported	complete	shared-version	typed-invalid
commits	accepted	selected	supported	complete	consolidate-commits	typed-invalid
tag	accepted	selected	supported	complete	tag-prefix	typed-invalid
changelog	accepted	selected	supported	complete	changelog-replacement	typed-invalid
first_release	accepted	selected	supported	complete	first-release	typed-invalid
success	accepted	selected	supported	complete	command-success	typed-invalid
