case	contract	release_unit	consumer	channel	mechanism	capability	fallback	expected
toolchain_manifest	accepted	known	known	known	toolchain	supported	none	allow
package_metadata	accepted	known	known	known	package-metadata	supported	none	allow
publish_control	accepted	known	known	known	publish-control	supported	none	allow
workspace_metadata	accepted	known	known	known	workspace-metadata	supported	none	allow
automation_adapter	accepted	known	known	known	automation-adapter	supported	none	allow
evidence_adapter	accepted	known	known	known	evidence	supported	none	allow
contradictory_contract	contradictory	known	known	known	package-metadata	supported	none	typed-invalid
missing_contract	missing	known	known	known	package-metadata	supported	none	typed-unavailable
unknown_release_unit	accepted	unknown	known	known	package-metadata	supported	none	typed-unavailable
unknown_consumer	accepted	known	unknown	known	package-metadata	supported	none	typed-unavailable
unknown_channel	accepted	known	known	unknown	publish-control	supported	none	typed-unavailable
unsupported_mechanism	accepted	known	known	known	package-metadata	unsupported	none	typed-unsupported
incumbent_metadata	accepted	known	known	known	package-metadata	supported	incumbent-metadata	typed-invalid
installed_tool	accepted	known	known	known	automation-adapter	supported	installed-tool	typed-invalid
fixed_checklist	accepted	known	known	known	evidence	supported	fixed-checklist	typed-invalid
command_success	accepted	known	known	known	evidence	supported	command-success	typed-invalid
