case	contracts	release_unit	channel	metadata	capability	evidence	fallback	expected
accepted_metadata	accepted	known	known	selected	supported	complete	none	allow
contradictory_contracts	contradictory	known	known	selected	supported	complete	none	typed-invalid
missing_contracts	missing	known	known	selected	supported	complete	none	typed-unavailable
unknown_release_unit	accepted	unknown	known	selected	supported	complete	none	typed-unavailable
unknown_channel	accepted	known	unknown	selected	supported	complete	none	typed-unavailable
unsupported_metadata	accepted	known	known	selected	unsupported	complete	none	typed-unsupported
incomplete_evidence	accepted	known	known	selected	supported	incomplete	none	typed-unavailable
required_fields	accepted	known	known	selected	supported	complete	required-fields	typed-invalid
fixed_edition	accepted	known	known	selected	supported	complete	fixed-edition	typed-invalid
fixed_rust_version	accepted	known	known	selected	supported	complete	fixed-rust-version	typed-invalid
fixed_license	accepted	known	known	selected	supported	complete	fixed-license	typed-invalid
repository_default	accepted	known	known	selected	supported	complete	repository-default	typed-invalid
readme_default	accepted	known	known	selected	supported	complete	readme-default	typed-invalid
taxonomy_default	accepted	known	known	selected	supported	complete	taxonomy-default	typed-invalid
crate_product_identity	accepted	known	known	selected	supported	complete	crate-product-identity	typed-invalid
registry_success	accepted	known	known	selected	supported	complete	registry-success	typed-invalid
