case	release_unit	package_facts	capability	evidence	fallback	expected
accepted	accepted	accepted	supported	complete	none	allow
missing_unit	missing	accepted	supported	complete	none	typed-unavailable
missing_facts	accepted	missing	supported	complete	none	typed-unavailable
contradictory	contradictory	accepted	supported	complete	none	typed-invalid
unsupported	accepted	accepted	unsupported	complete	none	typed-unsupported
incomplete	accepted	accepted	supported	incomplete	none	typed-unavailable
workspace_layout	accepted	accepted	supported	complete	workspace-layout	typed-invalid
existing_root	accepted	accepted	supported	complete	existing-root-manifest	typed-invalid
shared_version	accepted	accepted	supported	complete	shared-version	typed-invalid
one_product	accepted	accepted	supported	complete	one-product	typed-invalid
version_field	accepted	accepted	supported	complete	version-inheritance	typed-invalid
edition_field	accepted	accepted	supported	complete	edition-inheritance	typed-invalid
rust_version_field	accepted	accepted	supported	complete	rust-version-inheritance	typed-invalid
license_field	accepted	accepted	supported	complete	license-inheritance	typed-invalid
repository_field	accepted	accepted	supported	complete	repository-inheritance	typed-invalid
dependency_inheritance	accepted	accepted	supported	complete	dependency-inheritance	typed-invalid
