case	claim	scope	capability	environment	fallback	expected
accepted	accepted	known	supported	known	none	allow
missing_claim	missing	known	supported	known	none	typed-unavailable
unknown_scope	accepted	unknown	supported	known	none	typed-unavailable
unknown_environment	accepted	known	supported	unknown	none	typed-unavailable
contradictory	contradictory	known	supported	known	none	typed-invalid
unsupported	accepted	known	unsupported	known	none	typed-unsupported
workspace	accepted	known	supported	known	workspace-scope	typed-invalid
local_ci	accepted	known	supported	known	local-and-ci	typed-invalid
all_targets	accepted	known	supported	known	all-targets	typed-invalid
all_features	accepted	known	supported	known	all-features	typed-invalid
warnings	accepted	known	supported	known	warning-denial	typed-invalid
doctest	accepted	known	supported	known	doctest	typed-invalid
no_default	accepted	known	supported	known	no-default-features	typed-invalid
public_feature	accepted	known	supported	known	public-feature-category	typed-invalid
command	accepted	known	supported	known	conventional-command	typed-invalid
success	accepted	known	supported	known	command-success	typed-invalid
