case	build	owners	capability	fallback	expected
accepted	accepted	accepted	supported	none	allow
missing_build	missing	accepted	supported	none	typed-unavailable
missing_owner	accepted	missing	supported	none	typed-unavailable
contradictory	contradictory	accepted	supported	none	typed-invalid
unsupported	accepted	accepted	unsupported	none	typed-unsupported
existing	accepted	accepted	supported	existing-script	typed-invalid
sparing	accepted	accepted	supported	sparing-use	typed-invalid
purpose	accepted	accepted	supported	purpose	typed-invalid
directive	accepted	accepted	supported	directive	typed-invalid
output	accepted	accepted	supported	out-dir	typed-invalid
compiler	accepted	accepted	supported	compiler	typed-invalid
detection	accepted	accepted	supported	detection-phase	typed-invalid
timestamp	accepted	accepted	supported	timestamp	typed-invalid
dependency	accepted	accepted	supported	dependency	typed-invalid
raw	accepted	accepted	supported	raw-command	typed-invalid
success	accepted	accepted	supported	build-success	typed-invalid
