case	contract	source	tooling	verification	capability	fallback	expected
accepted	accepted	accepted	accepted	accepted	supported	none	allow
missing_contract	missing	accepted	accepted	accepted	supported	none	typed-unavailable
missing_source	accepted	missing	accepted	accepted	supported	none	typed-unavailable
missing_tooling	accepted	accepted	missing	accepted	supported	none	typed-unavailable
missing_verification	accepted	accepted	accepted	missing	supported	none	typed-unavailable
contradictory	contradictory	accepted	accepted	accepted	supported	none	typed-invalid
unsupported	accepted	accepted	accepted	accepted	unsupported	none	typed-unsupported
trybuild	accepted	accepted	accepted	accepted	supported	trybuild	typed-invalid
category	accepted	accepted	accepted	accepted	supported	restriction-category	typed-invalid
fixture	accepted	accepted	accepted	accepted	supported	fixture-shape	typed-invalid
diagnostic	accepted	accepted	accepted	accepted	supported	diagnostic-match	typed-invalid
ci	accepted	accepted	accepted	accepted	supported	ci	typed-invalid
compile_check	accepted	accepted	accepted	accepted	supported	compile-check	typed-invalid
runtime	accepted	accepted	accepted	accepted	supported	runtime-assertion	typed-invalid
panic	accepted	accepted	accepted	accepted	supported	panic	typed-invalid
success	accepted	accepted	accepted	accepted	supported	build-success	typed-invalid
