case	contracts	tooling	verification	capability	fallback	expected
accepted	accepted	accepted	accepted	supported	none	allow
missing_contracts	missing	accepted	accepted	supported	none	typed-unavailable
missing_tooling	accepted	missing	accepted	supported	none	typed-unavailable
missing_verification	accepted	accepted	missing	supported	none	typed-unavailable
contradictory	contradictory	accepted	accepted	supported	none	typed-invalid
unsupported	accepted	accepted	accepted	unsupported	none	typed-unsupported
cargo_hack	accepted	accepted	accepted	supported	cargo-hack	typed-invalid
crate_category	accepted	accepted	accepted	supported	crate-category	typed-invalid
powerset	accepted	accepted	accepted	supported	powerset	typed-invalid
feature_count	accepted	accepted	accepted	supported	feature-count	typed-invalid
workspace	accepted	accepted	accepted	supported	workspace	typed-invalid
no_dev_deps	accepted	accepted	accepted	supported	no-dev-deps	typed-invalid
all_features	accepted	accepted	accepted	supported	all-features	typed-invalid
no_default	accepted	accepted	accepted	supported	no-default-features	typed-invalid
target	accepted	accepted	accepted	supported	target-default	typed-invalid
success	accepted	accepted	accepted	supported	command-success	typed-invalid
