case	contract	scope	tool	target	mechanism	capability	fallback	expected
format_adapter	accepted	known	selected	known	format	supported	none	allow
lint_adapter	accepted	known	selected	known	lint	supported	none	allow
test_adapter	accepted	known	selected	known	test-runner	supported	none	allow
feature_adapter	accepted	known	selected	known	feature-matrix	supported	none	allow
benchmark_adapter	accepted	known	selected	known	benchmark	supported	none	allow
build_adapter	accepted	known	selected	known	build-script	supported	none	allow
contradictory	contradictory	known	selected	known	lint	supported	none	typed-invalid
missing_contract	missing	known	selected	known	lint	supported	none	typed-unavailable
unknown_scope	accepted	unknown	selected	known	lint	supported	none	typed-unavailable
missing_tool	accepted	known	missing	known	lint	supported	none	typed-unavailable
unknown_target	accepted	known	selected	unknown	lint	supported	none	typed-unavailable
unsupported	accepted	known	selected	known	lint	unsupported	none	typed-unsupported
installed_tool	accepted	known	selected	known	lint	supported	installed-tool	typed-invalid
workspace_default	accepted	known	selected	known	lint	supported	workspace-scope	typed-invalid
status_label	accepted	known	selected	known	lint	supported	required-label	typed-invalid
command_success	accepted	known	selected	known	lint	supported	command-success	typed-invalid
