case	operation_proof	caller_contract	module_invariants	wrapper	verification	feature_execution	expected
valid_block	complete	not-required	not-required	valid	selected	not-applicable	allow
valid_public_unsafe_fn	complete	complete	not-required	valid	selected	not-applicable	allow
valid_unsafe_module	complete	not-required	complete	valid	selected	not-applicable	allow
valid_feature_path	complete	not-required	complete	valid	selected	direct	allow
missing_operation_proof	absent	not-required	not-required	valid	selected	not-applicable	typed-invalid
incomplete_operation_proof	incomplete	not-required	not-required	valid	selected	not-applicable	typed-invalid
missing_caller_contract	complete	absent	not-required	valid	selected	not-applicable	typed-invalid
incomplete_caller_contract	complete	incomplete	not-required	valid	selected	not-applicable	typed-invalid
missing_module_invariants	complete	not-required	absent	valid	selected	not-applicable	typed-invalid
incomplete_module_invariants	complete	not-required	incomplete	valid	selected	not-applicable	typed-invalid
wrapper_claims_caller_facts	complete	complete	not-required	overclaims	selected	not-applicable	typed-invalid
verification_unavailable	complete	complete	not-required	valid	unavailable	not-applicable	evidence-unavailable
alternate_only_verification	complete	complete	not-required	valid	alternate-only	not-applicable	typed-invalid
verification_not_run	complete	complete	not-required	valid	not-run	not-applicable	typed-invalid
feature_disabled_only	complete	not-required	complete	valid	selected	disabled-only	typed-invalid
safe_default_only	complete	not-required	complete	valid	selected	safe-default-only	typed-invalid
invalid_precedes_unavailable	incomplete	complete	not-required	valid	unavailable	not-applicable	typed-invalid
