case	schema	serializer	attributes	consumer	variant	capability	evidence	fallback	expected
externally_tagged	selected	selected	complete	aligned	supported	available	native-host-round-trip	none	allow
internally_tagged	selected	selected	complete	aligned	supported	available	native-host-round-trip	none	allow
adjacently_tagged	selected	selected	complete	aligned	supported	available	native-host-round-trip	none	allow
untagged_selected	selected	selected	complete	aligned	supported	available	native-host-round-trip	none	allow
no_attributes_applicable	selected	selected	none-applicable	aligned	supported	available	native-host-round-trip	none	allow
renamed_variant_field	selected	selected	complete	aligned	supported	available	native-host-round-trip	none	allow
schema_missing	missing	selected	complete	aligned	supported	available	missing	none	typed-unavailable
schema_contradictory	contradictory	selected	complete	aligned	supported	available	native-host-round-trip	none	typed-invalid
serializer_missing	selected	missing	complete	aligned	supported	unavailable	missing	none	typed-unavailable
serializer_contradictory	selected	contradictory	complete	aligned	supported	available	native-host-round-trip	none	typed-invalid
attributes_incomplete	selected	selected	incomplete	aligned	supported	available	native-host-round-trip	none	typed-invalid
attributes_contradictory	selected	selected	contradictory	aligned	supported	available	native-host-round-trip	none	typed-invalid
consumer_missing	selected	selected	complete	missing	supported	available	producer-only	none	typed-unavailable
consumer_mismatch	selected	selected	complete	mismatch	supported	available	native-host-round-trip	none	typed-invalid
malformed_variant	selected	selected	complete	aligned	malformed	available	native-host-round-trip	none	typed-invalid
unsupported_variant	selected	selected	complete	aligned	unsupported	available	native-host-round-trip	none	typed-unsupported
capability_unavailable	selected	selected	complete	aligned	supported	unavailable	missing	none	typed-unavailable
producer_only_evidence	selected	selected	complete	aligned	supported	available	producer-only	none	typed-unavailable
missing_evidence	selected	selected	complete	aligned	supported	available	missing	none	typed-unavailable
default_shape_fallback	selected	selected	incomplete	aligned	supported	available	native-host-round-trip	default-shape	typed-invalid
schema_free_json	selected	selected	incomplete	aligned	supported	available	native-host-round-trip	schema-free-json	typed-invalid
native_layout_fallback	selected	selected	incomplete	aligned	supported	available	native-host-round-trip	native-layout	typed-invalid
unknown_sentinel_fallback	selected	selected	complete	aligned	unsupported	available	native-host-round-trip	unknown-sentinel	typed-invalid
omit_variant_fallback	selected	selected	complete	aligned	unsupported	available	native-host-round-trip	omit-variant	typed-invalid
alternate_serializer_fallback	selected	selected	complete	mismatch	supported	available	native-host-round-trip	alternate-serializer	typed-invalid
generated_assumption_fallback	missing	selected	incomplete	missing	supported	unavailable	missing	generated-assumption	typed-invalid
weaker_evidence_fallback	selected	selected	complete	aligned	supported	available	producer-only	weaker-evidence	typed-invalid
