case	exposure	exposure_contract	capacity	admission	tracking	outcome	shutdown	cancellation	drain	termination	liveness	liveness_contract	capability	fallback	expected
local-heartbeat-active	local	declared	available	before-accept	registered	observed-success	active	not-required	not-required	none	heartbeat	selected	available	none	allow
remote-keepalive-active	remote	declared	available	before-accept	registered	observed-success	active	not-required	not-required	none	keepalive	selected	available	none	allow
remote-idle-deadline	remote	declared	available	before-accept	registered	observed-success	active	not-required	not-required	none	idle-deadline	selected	available	none	allow
protocol-owned-closure	local	declared	available	before-accept	registered	observed-success	active	not-required	not-required	none	protocol-close	selected	available	none	allow
observed-connection-failure	local	declared	available	before-accept	registered	observed-failure	active	not-required	not-required	none	heartbeat	selected	available	none	allow
capacity-overload	local	declared	full	before-accept	not-required	not-required	active	not-required	not-required	none	none	not-required	available	none	typed-overload
ordered-complete-shutdown	local	declared	available	closed	registered	observed-cancel	ordered	signalled	complete	none	none	not-required	available	none	allow
ordered-incomplete-shutdown	local	declared	available	closed	registered	observed-cancel	ordered	signalled	incomplete	none	none	not-required	available	none	typed-incomplete
authorized-safe-termination	local	declared	available	closed	registered	observed-cancel	ordered	signalled	incomplete	authorized-safe	none	not-required	available	none	typed-incomplete
unknown-exposure	unknown	missing	available	before-accept	registered	observed-success	active	not-required	not-required	none	heartbeat	selected	available	none	typed-unavailable
missing-capacity	local	declared	missing	before-accept	registered	observed-success	active	not-required	not-required	none	heartbeat	selected	available	none	typed-unavailable
missing-task-registration	local	declared	available	before-accept	missing	observed-success	active	not-required	not-required	none	heartbeat	selected	available	none	typed-unavailable
missing-shutdown-cancellation	local	declared	available	closed	registered	observed-cancel	ordered	missing	complete	none	none	not-required	available	none	typed-unavailable
missing-shutdown-drain	local	declared	available	closed	registered	observed-cancel	ordered	signalled	missing	none	none	not-required	available	none	typed-unavailable
missing-liveness-contract	local	declared	available	before-accept	registered	observed-success	active	not-required	not-required	none	none	missing	available	none	typed-unavailable
unsupported-lifecycle-capability	local	declared	available	before-accept	registered	observed-success	active	not-required	not-required	none	heartbeat	selected	unsupported	none	typed-unsupported
unavailable-lifecycle-capability	local	declared	available	before-accept	registered	observed-success	active	not-required	not-required	none	heartbeat	selected	unavailable	none	typed-unavailable
broad-bind-fallback	broad	declared	available	before-accept	registered	observed-success	active	not-required	not-required	none	heartbeat	selected	available	broad-bind	typed-invalid
default-address-fallback	local	declared	available	before-accept	registered	observed-success	active	not-required	not-required	none	heartbeat	selected	available	default-address	typed-invalid
fixed-default-capacity	local	declared	default	before-accept	registered	observed-success	active	not-required	not-required	none	heartbeat	selected	available	default-capacity	typed-invalid
accept-before-capacity	local	declared	available	after-accept	registered	observed-success	active	not-required	not-required	none	heartbeat	selected	available	accept-first	typed-invalid
detached-connection-work	local	declared	available	before-accept	detached	discarded	active	not-required	not-required	none	heartbeat	selected	available	detached-work	typed-invalid
discarded-connection-outcome	local	declared	available	before-accept	discarded	discarded	active	not-required	not-required	none	heartbeat	selected	available	discard-outcome	typed-invalid
leaf-logging-as-owner	local	declared	available	before-accept	detached	leaf-logged	active	not-required	not-required	none	heartbeat	selected	available	leaf-logging	typed-invalid
shutdown-admission-open	local	declared	available	open	registered	observed-cancel	open-admission	signalled	incomplete	none	none	not-required	available	open-admission	typed-invalid
default-force-close	local	declared	available	closed	registered	observed-cancel	ordered	signalled	incomplete	default-force	none	not-required	available	force-close	typed-invalid
unauthorized-force-close	local	declared	available	closed	registered	observed-cancel	ordered	signalled	incomplete	unauthorized	none	not-required	available	force-close	typed-invalid
unsafe-force-close	local	declared	available	closed	registered	observed-cancel	ordered	signalled	incomplete	authorized-unsafe	none	not-required	available	force-close	typed-invalid
fixed-timeout-fallback	local	declared	available	before-accept	registered	observed-success	active	not-required	not-required	none	idle-deadline	selected	available	fixed-timeout	typed-invalid
default-liveness-policy	local	declared	available	before-accept	registered	observed-success	active	not-required	not-required	none	default	selected	available	default-liveness	typed-invalid
alternate-runtime-fallback	local	declared	available	before-accept	registered	observed-success	active	not-required	not-required	none	heartbeat	selected	unavailable	alternate-runtime	typed-invalid
alternate-listener-fallback	local	declared	available	before-accept	registered	observed-success	active	not-required	not-required	none	heartbeat	selected	unavailable	alternate-listener	typed-invalid
