case	path_state	relation	root_policy	symlink	parent_anchor	race_control	filesystem_facts	expected
existing_descendant	existing	descendant	not-applicable	inside	not-applicable	capability	known	allow
canonical_root_allowed	existing	root	allow	inside	not-applicable	capability	known	allow
canonical_root_denied	existing	root	deny	inside	not-applicable	capability	known	typed-invalid
sibling_prefix	existing	sibling	not-applicable	none	not-applicable	capability	known	typed-invalid
parent_traversal	existing	traversal	not-applicable	none	not-applicable	capability	known	typed-invalid
symlink_escape	existing	descendant	not-applicable	outside	not-applicable	capability	known	typed-invalid
unknown_symlink	existing	descendant	not-applicable	unknown	not-applicable	capability	known	typed-unavailable
anchored_creation	non-existing	descendant	not-applicable	none	validated	capability	known	allow
unanchored_creation	non-existing	descendant	not-applicable	none	unvalidated	capability	known	typed-invalid
mutable_without_capability	existing	descendant	not-applicable	inside	not-applicable	none	known	typed-unsupported
unknown_filesystem	existing	descendant	not-applicable	inside	not-applicable	capability	unknown	typed-unavailable
