route	target
core	CORE-STANDARDS.md
router	STANDARDS-ROUTER.md
architecture	topics/architecture.md
resilience	topics/resilience.md#failure-boundaries-and-diagnostics
boundary_contracts	topics/contracts.md#inbound-and-outbound-boundary-proof
dependencies	topics/dependencies.md
invariants	topics/contracts.md#invariant-contracts
verification	workflows/verification.md#selecting-claims
disabled_lifecycle	workflows/implementation.md#disabled-and-incomplete-behavior
disabled_claims	workflows/verification.md#disabled-behavior-claims
build	workflows/build.md
licensing	topics/licensing.md
language_router	STANDARDS-ROUTER.md#language-profiles
typescript	profiles/languages/typescript.md
typescript_async	profiles/languages/typescript/async.md
frontend	profiles/applications/frontend.md
performance	topics/performance.md
