source	route	destination
CODING-STANDARDS.md	core	CORE-STANDARDS.md
CODING-STANDARDS.md	router	STANDARDS-ROUTER.md
CODING-STANDARDS.md	architecture	topics/architecture.md
CODING-STANDARDS.md	resilience	topics/resilience.md#failure-boundaries-and-diagnostics
CODING-STANDARDS.md	boundary_contracts	topics/contracts.md#inbound-and-outbound-boundary-proof
CODING-STANDARDS.md	dependencies	topics/dependencies.md
CODING-STANDARDS.md	invariants	topics/contracts.md#invariant-contracts
CODING-STANDARDS.md	verification	workflows/verification.md#selecting-claims
CODING-STANDARDS.md	disabled_lifecycle	workflows/implementation.md#disabled-and-incomplete-behavior
CODING-STANDARDS.md	disabled_claims	workflows/verification.md#disabled-behavior-claims
CODING-STANDARDS.md	build	workflows/build.md
CODING-STANDARDS.md	licensing	topics/licensing.md
CODING-STANDARDS.md	language_router	STANDARDS-ROUTER.md#language-profiles
CODING-STANDARDS.md	typescript	profiles/languages/typescript.md
CODING-STANDARDS.md	typescript_async	profiles/languages/typescript/async.md
CODING-STANDARDS.md	frontend	profiles/applications/frontend.md
CODING-STANDARDS.md	performance	topics/performance.md
COMMIT-STANDARDS.md	router	STANDARDS-ROUTER.md
COMMIT-STANDARDS.md	commit_workflow	workflows/commit.md
COMMIT-STANDARDS.md	commit_recipe	reference/recipes/commits.md
CONCURRENCY-STANDARDS.md	router	STANDARDS-ROUTER.md
CONCURRENCY-STANDARDS.md	concurrency	topics/concurrency.md
CONCURRENCY-STANDARDS.md	csharp_async	profiles/languages/csharp/async.md
CONCURRENCY-STANDARDS.md	rust_async	profiles/languages/rust/async.md
CONCURRENCY-STANDARDS.md	rust_security	profiles/languages/rust/security.md
CONCURRENCY-STANDARDS.md	typescript_async	profiles/languages/typescript/async.md
CONCURRENCY-STANDARDS.md	godot	profiles/frameworks/godot.md
CROSS-PLATFORM-STANDARDS.md	router	STANDARDS-ROUTER.md
CROSS-PLATFORM-STANDARDS.md	platform_support	topics/cross-platform.md#platform-support-contract
CROSS-PLATFORM-STANDARDS.md	filesystem_paths	topics/cross-platform.md#filesystem-paths
CROSS-PLATFORM-STANDARDS.md	filesystem_containment	topics/security.md#filesystem-containment
CROSS-PLATFORM-STANDARDS.md	native_artifact_loading	topics/cross-platform.md#native-artifact-loading
CROSS-PLATFORM-STANDARDS.md	release_artifact_plan	workflows/release.md#artifact-plan
CROSS-PLATFORM-STANDARDS.md	platform_evidence	workflows/verification.md#platform-evidence-coverage
DOCUMENTATION-STANDARDS.md	router	STANDARDS-ROUTER.md
DOCUMENTATION-STANDARDS.md	documentation_workflow	workflows/documentation.md
DOCUMENTATION-STANDARDS.md	documentation_recipe	reference/recipes/documentation.md
DOCUMENTATION-STANDARDS.md	release_workflow	workflows/release.md
FRONTEND-STANDARDS.md	frontend	profiles/applications/frontend.md
FRONTEND-STANDARDS.md	accessibility	topics/accessibility.md
FRONTEND-STANDARDS.md	concurrency	topics/concurrency.md
FRONTEND-STANDARDS.md	typescript	profiles/languages/typescript.md
FRONTEND-STANDARDS.md	typescript_async	profiles/languages/typescript/async.md
FRONTEND-STANDARDS.md	tooling	workflows/tooling.md
FRONTEND-STANDARDS.md	verification	workflows/verification.md
FRONTEND-STANDARDS.md	frontend_recipes	reference/recipes/frontend.md
FRONTEND-STANDARDS.md	tooling_recipes	reference/recipes/tooling.md
PLAN-STANDARDS.md	router	STANDARDS-ROUTER.md
PLAN-STANDARDS.md	planning_workflow	workflows/planning.md
PLAN-STANDARDS.md	plan_template	templates/PLAN-TEMPLATE.md
SECURITY-STANDARDS.md	router	STANDARDS-ROUTER.md
SECURITY-STANDARDS.md	filesystem_containment	topics/security.md#filesystem-containment
SECURITY-STANDARDS.md	input_validation	topics/security.md#input-validation-authority
SECURITY-STANDARDS.md	structured_input	topics/security.md#untrusted-structured-input
SECURITY-STANDARDS.md	network_transport	topics/security.md#network-transport-boundary
SECURITY-STANDARDS.md	proof_lifetime	topics/contracts.md#validation-proof-lifetime
SECURITY-STANDARDS.md	runtime_decoding	topics/contracts.md#runtime-decoding-at-boundaries
SECURITY-STANDARDS.md	ipc	profiles/boundaries/ipc.md
SECURITY-STANDARDS.md	owned_work	topics/concurrency.md#own-work-failure-and-cancellation
