case	facts	authority	capability	scope	fallback	expected
supported_debt	complete	explicit	supported	complete	none	allow
supported_cost	complete	explicit	supported	complete	none	allow
contradictory	contradictory	explicit	supported	complete	none	typed-invalid
missing_authority	complete	missing	supported	complete	none	typed-unavailable
missing_scope	complete	explicit	supported	missing	none	typed-unavailable
unsupported	complete	explicit	unsupported	complete	none	typed-unsupported
snapshot_default	complete	explicit	supported	complete	snapshot	typed-invalid
count_default	complete	explicit	supported	complete	total-count	typed-invalid
zero_default	complete	explicit	supported	complete	zero-debt	typed-invalid
cache_default	complete	explicit	supported	complete	cache	typed-invalid
timeout_default	complete	explicit	supported	complete	timeout	typed-invalid
filter_default	complete	explicit	supported	complete	path-filter	typed-invalid
cancellation_default	complete	explicit	supported	complete	cancel	typed-invalid
artifact_default	complete	explicit	supported	complete	upload	typed-invalid
stale_cache	complete	explicit	supported	complete	stale-state	typed-invalid
discard_diagnostics	complete	explicit	supported	complete	discard	typed-invalid
