case	facts	context	mechanism	scope	precedence	representable	fallback	expected
supported_configuration	complete	required-contract	selected	complete	complete	yes	none	allow
supported_nested_scope	complete	required-contract	selected	complete	complete	yes	none	allow
contradictory_requirements	contradictory	required-contract	selected	complete	complete	yes	none	typed-invalid
missing_mechanism	complete	required-contract	missing	complete	complete	yes	none	typed-unavailable
missing_scope	complete	required-contract	selected	missing	complete	yes	none	typed-unavailable
missing_precedence	complete	required-contract	selected	complete	missing	yes	none	typed-unavailable
unsupported_setting	complete	required-contract	selected	complete	complete	no	none	typed-unsupported
editorconfig_default	complete	required-contract	selected	complete	complete	yes	editorconfig	typed-invalid
spaces_default	complete	required-contract	selected	complete	complete	yes	spaces	typed-invalid
lf_default	complete	required-contract	selected	complete	complete	yes	lf	typed-invalid
utf8_default	complete	required-contract	selected	complete	complete	yes	utf8	typed-invalid
omit_unrepresentable	complete	required-contract	selected	complete	complete	no	silent-omit	typed-invalid
new_source_utf8	complete	ordinary-source	selected	complete	complete	yes	utf8	allow
shared_editor_configuration	complete	ordinary-source	selected	complete	complete	yes	editorconfig	allow
language_conventional_spaces	complete	ordinary-source	selected	complete	complete	yes	spaces	allow
