case	role	authority	fallback	expected
editorconfig_example	reference	none	none	allow-reference
formatter_example	reference	none	none	allow-reference
linter_example	reference	none	none	allow-reference
hook_runner_example	reference	none	none	allow-reference
package_scripts	reference	none	none	allow-reference
eslint_flat_config_note	reference	none	none	allow-reference
minimum_setup	normative	implicit	minimum-tool-list	typed-invalid
required_product	normative	implicit	product-default	typed-invalid
implicit_install	normative	implicit	implicit-install	typed-invalid
command_success	normative	implicit	command-success	typed-invalid
