case	required_claims	observed_claims	expected
S1	focused@not-applicable@automated	focused@not-applicable@automated	satisfied
S2	user-workflow@representative@automated	focused@not-applicable@automated;integration@representative@automated	unsatisfied
S3	integration@representative@automated	integration@representative@automated	satisfied
S4	contract@representative@automated;system@representative@automated	contract@representative@automated;system@representative@automated	satisfied
S5	contract@representative@automated;release-artifact@representative@automated	contract@representative@automated;release-artifact@representative@automated	satisfied
S6	release-artifact@representative@automated	release-artifact@representative@automated	satisfied
S7	user-workflow@required-real@manual	user-workflow@simulated@automated;system@simulated@automated	unsatisfied
either-mode	focused@not-applicable@either	focused@not-applicable@automated	satisfied
release-smoke-is-not-user-workflow	user-workflow@representative@automated	release-artifact@representative@automated	unsatisfied
manual-is-not-higher-than-artifact	release-artifact@representative@either	user-workflow@representative@manual	unsatisfied
