case	support_contract	support	target_coverage	environment	result	schedule	orchestration	fallback	expected
required_complete	declared	required	complete	matched	passed	risk-selected	project-selected	none	allow
best_effort_pass	declared	best-effort	complete	matched	passed	risk-selected	project-selected	none	allow
best_effort_failure	declared	best-effort	complete	matched	failed	risk-selected	project-selected	none	allow
unsupported_target	declared	unsupported	complete	matched	not-run	risk-selected	project-selected	none	typed-unsupported
required_partial	declared	required	partial	matched	passed	risk-selected	project-selected	none	acceptance-blocked
required_failed	declared	required	complete	matched	failed	risk-selected	project-selected	none	acceptance-blocked
required_not_run	declared	required	complete	matched	not-run	risk-selected	project-selected	none	acceptance-blocked
missing_environment	declared	required	complete	missing	not-run	risk-selected	project-selected	none	acceptance-blocked
simulated_substitute	declared	required	complete	simulated-substitute	passed	risk-selected	project-selected	none	typed-invalid
missing_contract	missing	required	complete	matched	passed	risk-selected	project-selected	none	typed-unavailable
contradictory_contract	contradictory	required	complete	matched	passed	risk-selected	project-selected	none	typed-invalid
unknown_coverage	declared	required	unknown	matched	passed	risk-selected	project-selected	none	typed-unavailable
unknown_schedule	declared	required	complete	matched	passed	unknown	project-selected	none	typed-unavailable
unknown_orchestration	declared	required	complete	matched	passed	risk-selected	unknown	none	typed-unavailable
fixed_schedule	declared	required	complete	matched	passed	fixed	project-selected	fixed-triggers	typed-invalid
fixed_fail_fast	declared	required	complete	matched	passed	risk-selected	fixed-fail-fast	none	typed-invalid
default_targets	declared	required	complete	matched	passed	risk-selected	project-selected	default-targets	typed-invalid
current_platform_substitute	declared	required	partial	matched	passed	risk-selected	project-selected	current-platform	typed-invalid
weaken_required	declared	required	partial	matched	passed	risk-selected	project-selected	weaken-required	typed-invalid
provider_matrix	declared	required	complete	matched	passed	risk-selected	project-selected	provider-matrix	typed-invalid
default_success	missing	required	unknown	missing	not-run	unknown	unknown	default-success	typed-invalid
