component	size	cyclic	wave	members	dependencies	inbound_components	executable_inbound_files	contract_inbound_files
component-04fa08517d7a709af78a47bf18da52950f55a7aacd31c4f5e32e4cc48a1cd41e	1	no	6	evaluation/standards-effectiveness/verify-rust-wire-representation.sh	component-4940104761051e00bc2df0352d77702d7e95858d1a1fe20f7c52f5c6fbb01841,component-766598ee7031fff2e1ae6578c0461b7c9dc34a182e929270ac327c7f99070597,component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d,component-dc06460a1b272e7e86aad95524869442d2d130d37e1b41ef84c48338d1ea4dff	component-be2cabf58bb7b0ede8286919e88198aa4d2273bff1cd89e4c562df46e9ac3366	evaluation/standards-effectiveness/verify-rust-binding-enum-representation.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv
component-059d0e67e16da7c904c34ec7c7b78de9c1320e51262106a8dc7b6ccc11f96978	1	no	6	evaluation/standards-effectiveness/verify-rust-binding-callback-task.sh	component-10424240821387e90829bd4d616ed07d1ac092ab9b0fd0d5ef9308da6172d684,component-177c8a2d3e64a56b3c5f39ed57748c87f3457bbf6528fedb557cbf9483b36134,component-7e14e2de6c5a319348ca02661400a550fdc2d379352ffb3c7f909a24d7ab1167,component-814a5104df1a2a94c6066f2c26a7b3714dcce1322894a1d8ec3c5ec38f4a7825,component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d	-	-	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv
component-074d0df8d4f07b3126cc4661a570aed14eb3cfb68147109dc8cdc99d702bf189	1	no	6	evaluation/standards-effectiveness/verify-validation-proof-lifetime.sh	component-377ec2aa550fe7393135941bac0bcbbf012367cfbb619cf6fe37560d656527b5,component-4940104761051e00bc2df0352d77702d7e95858d1a1fe20f7c52f5c6fbb01841,component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d	component-8e9e913a6ebea1ca8dc44b7ea11cbb88704962fb8af01b65f468d7d43712ff94	evaluation/standards-effectiveness/verify-security-index-closure.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-security-checker-repairs.tsv
component-07ce6877f103bc57a9f71e7884007823ac917967a9324f9aaf13c2f7713006b3	1	no	4	evaluation/standards-effectiveness/verify-milestone-7-f025-f026-decomposition.sh	component-4020675e30062d26db7623399b9ba326cd7245afa79736406aab314ff1b10afb,component-6a60c37c93d5b66cf98456f78fcd1d0613ab20920652a16e03fc7dcb991081c1	component-10424240821387e90829bd4d616ed07d1ac092ab9b0fd0d5ef9308da6172d684,component-44f91df1cc44a02c1a5c7ee20696b26f4b18fdf59724f0ff17c57638e7224b4a,component-b5457a6ead8379241cc89c07a82a300c7d720bc18701135444ddc0f7c37389da,component-c3bbb4ce7558ec7ff0cd189517f9bd354e89cc922fbb30dad60ca08546af8422,component-d288e00b6179ec6f05844d4d49c43b4b9ae8e5246cd769b8ac5f59fbd11b1ef6	evaluation/standards-effectiveness/verify-rust-binding-architecture.sh,evaluation/standards-effectiveness/verify-rust-binding-executor-delegation.sh,evaluation/standards-effectiveness/verify-rust-binding-runtime.sh,evaluation/standards-effectiveness/verify-rust-filesystem-authority.sh,evaluation/standards-effectiveness/verify-rust-listener-lifecycle.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv
component-08a69acf3fffd4d96c3b77d021a97b9ae24dbf8b83428d4b2d17e9e3ff0d6178	1	no	7	evaluation/standards-effectiveness/verify-rust-binding-title-index-closure.sh	component-44f91df1cc44a02c1a5c7ee20696b26f4b18fdf59724f0ff17c57638e7224b4a,component-921caa91bd073ab88969b0be604729698c76a06ed7f043dcb99140136b094fe0,component-9444f35220b1ea0a550576b912f1a32b42e57f4fda3b7092f366fa239fec0b65,component-9543f3859767b879dd34ce84bf29a7b273c41e5523adacb1d1d96ef42d4ef475,component-b387100c78f8eac53cb170aab98689d945efe020e13a43137b0d5b771e38c525,component-b5457a6ead8379241cc89c07a82a300c7d720bc18701135444ddc0f7c37389da,component-dc06460a1b272e7e86aad95524869442d2d130d37e1b41ef84c48338d1ea4dff,component-f34de65d4fcc4edaaaf8a96dcb49786a58ea2ad43932aa3460571b270ab838ee	-	evaluation/standards-effectiveness/verify-milestone-7-row-43-decomposition.sh	-
component-0a08c0f28f05abc0298f6bdbf8abb9a6aede50308c8f1fdf81c1581b7e2e2056	1	no	2	evaluation/standards-effectiveness/verify-milestone-7-rust-async-decomposition.sh	component-6a60c37c93d5b66cf98456f78fcd1d0613ab20920652a16e03fc7dcb991081c1	component-4020675e30062d26db7623399b9ba326cd7245afa79736406aab314ff1b10afb,component-814a5104df1a2a94c6066f2c26a7b3714dcce1322894a1d8ec3c5ec38f4a7825,component-8cb2077e22d9dbef3fdd46364f3e2fe54845c82646121b11c3f2a7cad165b97b	evaluation/standards-effectiveness/verify-milestone-7-trust-lifecycle-replan.sh,evaluation/standards-effectiveness/verify-rust-async-boundary.sh,evaluation/standards-effectiveness/verify-rust-async-lifecycle.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv
component-0b6ee6317401d4f4fed9f4cb1d2f28bf9b3b370ef07e7741b8b1447295dc46c5	1	no	4	evaluation/standards-effectiveness/verify-resilience-owner-contract.sh	component-7e14e2de6c5a319348ca02661400a550fdc2d379352ffb3c7f909a24d7ab1167,component-f1660bb55a383e0a9eb4397543b8ee8ac6f2d7101d8f939c4d3beb685dd0e7e6	component-8c0b792ff3e0e03ddb5ee0294e16893eb956c5527ece218175f08b074cadb52b	evaluation/standards-effectiveness/verify-resilience-recovery-policy.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv
component-10424240821387e90829bd4d616ed07d1ac092ab9b0fd0d5ef9308da6172d684	1	no	5	evaluation/standards-effectiveness/verify-rust-binding-executor-delegation.sh	component-07ce6877f103bc57a9f71e7884007823ac917967a9324f9aaf13c2f7713006b3,component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d	component-059d0e67e16da7c904c34ec7c7b78de9c1320e51262106a8dc7b6ccc11f96978	evaluation/standards-effectiveness/verify-rust-binding-callback-task.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv
component-177c8a2d3e64a56b3c5f39ed57748c87f3457bbf6528fedb557cbf9483b36134	1	no	4	evaluation/standards-effectiveness/verify-concurrency-policy.sh	component-4020675e30062d26db7623399b9ba326cd7245afa79736406aab314ff1b10afb,component-6a60c37c93d5b66cf98456f78fcd1d0613ab20920652a16e03fc7dcb991081c1,component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d	component-059d0e67e16da7c904c34ec7c7b78de9c1320e51262106a8dc7b6ccc11f96978,component-4940104761051e00bc2df0352d77702d7e95858d1a1fe20f7c52f5c6fbb01841,component-5f042984dbb39cba08ed457cda9348a095ed91a847e020b35b14e9ce34b27ba5,component-919b5d2fe8b3b70c7ee0caa438a8cffd1c469f1d3e50c10d2de039158a6c3dcc,component-cbeed40a7f9e5e3d699206653231eac25713b591f47332b9f18ee06e33703fcd	evaluation/standards-effectiveness/verify-interop-event-registration.sh,evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh,evaluation/standards-effectiveness/verify-network-transport-policy.sh,evaluation/standards-effectiveness/verify-rust-binding-callback-task.sh,evaluation/standards-effectiveness/verify-rust-binding-event-delivery.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv,evaluation/standards-effectiveness/milestone-7-source-package-preparation.tsv
component-17e89de10238a6cd83b168cb5301c38cb2d499df58d0fbf1103e61c05b873df2	1	no	10	evaluation/standards-effectiveness/verify-rust-security-title-index-closure.sh	component-5e1cf8e9c5200202ab4ae5c26353960caa4dbe106c70473d4712072f82368a92,component-8e9e913a6ebea1ca8dc44b7ea11cbb88704962fb8af01b65f468d7d43712ff94,component-a6453bee7ea7a5f056c5a69c331805e3f7aeceb8927ff97ed3cf45dae52f1142,component-c0459149ff60600dae7bb9bed5c67fb4e0da9259ef4cacda2d8d93282126c54d,component-c3bbb4ce7558ec7ff0cd189517f9bd354e89cc922fbb30dad60ca08546af8422,component-d288e00b6179ec6f05844d4d49c43b4b9ae8e5246cd769b8ac5f59fbd11b1ef6,component-d8ea8a1175975e29763efd153437187aae89c54e63fe8f7bc184e8646071ffa4,component-e9b0fc054c73518eb39cbc2ee6ae89618f24478151a9767cd056d3c75c3d2d96	-	evaluation/standards-effectiveness/verify-milestone-7-row-44-decomposition.sh	-
