node	kind	resolved	component	component_size	cyclic	wave	executable_inbound_count	contract_inbound_count	dependency_inbound_count	dependency_outbound_count
evaluation/standards-effectiveness/check-metadata.sh	helper	yes	component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d	1	no	0	5	1	5	0
evaluation/standards-effectiveness/check-plan-structure.sh	helper	yes	component-b5ec0297136d534162c8d0bde279007d81785d53c084477ca1c94f89f9986cc4	1	no	0	1	10	1	0
evaluation/standards-effectiveness/verify-concurrency-policy.sh	verifier	yes	component-177c8a2d3e64a56b3c5f39ed57748c87f3457bbf6528fedb557cbf9483b36134	1	no	4	2	4	2	3
evaluation/standards-effectiveness/verify-contract-decisions.sh	verifier	yes	component-989c910ddcf2c312c4c251fabeb891abb2099e35d1860e10b54e4d7a20414ad8	1	no	0	0	1	0	0
evaluation/standards-effectiveness/verify-contract-ownership.sh	verifier	yes	component-f164a80b7fcd9626ecdf1baea8eb7b6d59f71988c2161366670321e00d1383d3	1	no	0	2	4	1	0
evaluation/standards-effectiveness/verify-interop-boundary-policy.sh	verifier	yes	component-ddde987c43bc18855aecc437804a618bf252fcaf558fc1c91a278caa9a3a7b41	1	no	1	2	3	2	2
evaluation/standards-effectiveness/verify-interop-event-registration.sh	verifier	yes	component-919b5d2fe8b3b70c7ee0caa438a8cffd1c469f1d3e50c10d2de039158a6c3dcc	1	no	6	1	2	0	4
evaluation/standards-effectiveness/verify-milestone-7-decomposition.sh	verifier	yes	component-9efbb73ab0af6005e09605ca605c1b80b50a73ad8aab34f36733a79b94a9c8ed	1	no	0	3	1	3	0
evaluation/standards-effectiveness/verify-milestone-7-execution-train.sh	verifier	yes	component-7e14e2de6c5a319348ca02661400a550fdc2d379352ffb3c7f909a24d7ab1167	1	no	2	1	2	1	4
evaluation/standards-effectiveness/verify-milestone-7-f022-f023-decomposition.sh	verifier	yes	component-572e52e35399637057c19ce2396fe5791f1e3339d8c1db61cfb66be8f5abafd8	1	no	0	2	2	2	0
evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh	verifier	yes	component-4940104761051e00bc2df0352d77702d7e95858d1a1fe20f7c52f5c6fbb01841	1	no	5	1	6	1	6
evaluation/standards-effectiveness/verify-milestone-7-rust-async-decomposition.sh	verifier	yes	component-0a08c0f28f05abc0298f6bdbf8abb9a6aede50308c8f1fdf81c1581b7e2e2056	1	no	2	1	2	1	1
evaluation/standards-effectiveness/verify-milestone-7-trust-lifecycle-replan.sh	verifier	yes	component-4020675e30062d26db7623399b9ba326cd7245afa79736406aab314ff1b10afb	1	no	3	1	2	1	3
evaluation/standards-effectiveness/verify-owner-state-transitions.sh	verifier	yes	component-6b68dca809c343cfd0363eb43d1e2d2d9020dd18b9448cdf1a601a40eb573b62	1	no	0	1	0	1	0
evaluation/standards-effectiveness/verify-plan-fixtures.sh	verifier	yes	component-6a60c37c93d5b66cf98456f78fcd1d0613ab20920652a16e03fc7dcb991081c1	1	no	1	5	3	5	1
evaluation/standards-effectiveness/verify-runtime-decoding-policy.sh	verifier	yes	component-377ec2aa550fe7393135941bac0bcbbf012367cfbb619cf6fe37560d656527b5	1	no	1	0	2	0	1
evaluation/standards-effectiveness/verify-rust-binding-conversions.sh	verifier	yes	component-dc06460a1b272e7e86aad95524869442d2d130d37e1b41ef84c48338d1ea4dff	1	no	1	0	4	0	2
evaluation/standards-effectiveness/verify-verification-gate-model.sh	verifier	yes	component-b249848fe54669c6b885ac972c487fc835de7d49e23115056ab7db0fd940225d	1	no	0	1	0	1	0
