path	kind	normative	target_role	disposition	baseline_source	sha256	lines	headings	imperatives
README.md	entrypoint	derived	router	replace	git	5f00996997a7941e25eefdc317885ff03d6d9335e51a706e04e780b0dbbb6d93	61	6	0
ACCESSIBILITY-STANDARDS.md	standard	yes	topic	refine	git	96329d2913732f5fc53feef5353e3942e4ad0d41d780a25b72be9b7708382466	218	20	7
ARCHITECTURE-PATTERNS.md	standard	yes	mixed	split	git	3da09a6eb1c81663cc4fd060acbcb8d8f06de22118478645207925e1382825ac	1268	108	21
CODING-STANDARDS.md	standard	yes	core	split	git	2f0ef9e38504df67965757a3fb11acedd1e12fd40cbade94519ae49d78697d55	749	60	16
COMMIT-STANDARDS.md	standard	yes	workflow	refine	git	d52b5cee6a6ef8e697312b04ccc887bf6d488e3393453359cdc6fb16e321f091	406	68	5
CONCURRENCY-STANDARDS.md	standard	yes	topic	refine	git	a7ca620b9f421807204632617d9d4cb19a3759f42bf9458b243803e9c6418543	213	17	6
CROSS-PLATFORM-STANDARDS.md	standard	yes	topic	refine	git	687736c817dec31c99564e7c3058f961d2bc9fb99f2d3eeac2a3dec5ba99b50e	260	20	12
DEPENDENCY-STANDARDS.md	standard	yes	topic	split	git	2f0902dd00eda040d28fd79a45cedcfcf372fa166cbaa4ac736d3f4aad48bdc6	677	49	29
DOCUMENTATION-STANDARDS.md	standard	yes	workflow	split	git	2cee56c90de71fbfebc42f0be47c060af7c826958bb98d5936e6c501df596325	644	100	15
FRONTEND-STANDARDS.md	standard	yes	profile	refine	git	2c77edd654bd452c8487135547316bffc4e40410618a4803ebd1cf24918ad0e7	233	16	4
INTEROP-STANDARDS.md	standard	yes	topic	refine	git	c9c811c3e564b6d30d7bbafc9742a88123f63956391fa19f53d03bf28ec12233	179	18	11
LANGUAGE-BINDINGS-STANDARDS.md	standard	yes	boundary-profile	refine	git	72da063121e33ec2bb9388cfce76a52ebd35e859dd1882b27f7b59158d5b75d3	67	4	4
LAUNCHER-STANDARDS.md	standard	yes	application-profile	split	git	d387df09714361b535c298fb3a63f6ef66337db06dc59b136cabc63b64ce710d	563	26	23
PLAN-STANDARDS.md	standard	yes	workflow	replace	git	589d609993ef9739b366b3db6ee094cd40c718ed1a9a30d69a942ce1854e9e4e	323	18	18
RELEASE-STANDARDS.md	standard	yes	workflow	split	git	b221c78785a87c5d6a3d1079a300aba36448ff24416d0e47f667402b9b3124d7	566	51	14
SECURITY-STANDARDS.md	standard	yes	topic	refine	git	859d940e8738145f0ff5ed1ba13537fe0d435e62bdac736d4659622b13ac55d4	338	20	14
TESTING-STANDARDS.md	standard	yes	workflow	split	git	12aade21d4d65141c8178f50483bd7805fc4401f5ba60028af9085d8571cad7c	686	52	15
TOOLING-STANDARDS.md	standard	yes	workflow	split	git	e38beb919eafc4bf19c81271c5d70e744dfd4b4405c8028cdc53cf170a20ab3f	812	50	22
languages/README.md	entrypoint	derived	router	replace	git	0c65fa84d1bd222f731d3ed7626f94ac5b8d99a4152b4fb4e22bd0287a91f4af	15	2	0
languages/rust/RUST-API-STANDARDS.md	profile	yes	language-profile	refine	git	d0167634a5203be366127498df18cf73f2329f486d19742533f222433a971b90	239	11	11
languages/rust/RUST-ASYNC-STANDARDS.md	profile	yes	language-profile	refine	git	25b17b858c684ca919e7a235a814cf85928d3ab09806dc9ad392f14016551458	164	9	11
languages/rust/RUST-CROSS-PLATFORM-STANDARDS.md	profile	yes	language-profile	refine	git	678830d9517ec22f0b5f52381229aaed7b238a17202d74b4bf604170abff3661	111	5	1
languages/rust/RUST-DEPENDENCY-STANDARDS.md	profile	yes	language-profile	refine	git	620f6a01fb39f6da4dcf33f4859ab3cbf009c72837f8040d4bab6007c604e02f	154	21	3
languages/rust/RUST-INTEROP-STANDARDS.md	profile	yes	language-profile	refine	git	0047751cb2bd1fa5dcc9e6a7e438c1351f759166dfa4213ee31d05d80871c460	114	6	7
languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profile	yes	language-profile	split	git	bb70fdd6bec2f874ee3fc68a4a9815fdb476ec067cba300ecedeae3ee2b60314	831	52	20
languages/rust/RUST-RELEASE-STANDARDS.md	profile	yes	language-profile	refine	git	cbb49cd12960a5c06ec5738c3eddca6501b79a56918617549b4a686fe1913d42	125	11	3
languages/rust/RUST-SECURITY-STANDARDS.md	profile	yes	language-profile	refine	git	042458e2f1e4038969017d0d689f4859ba7fa795e66db081f14d80dc2efbbb70	110	6	5
languages/rust/RUST-STANDARDS.md	entrypoint	derived	language-router	replace	git	330b6dba19c3409abd65794cf1977c9a5730650a368becbbe46784a446880afb	53	4	2
languages/rust/RUST-STANDARDS-ADOPTION-NOTES.md	reference	no	reference	move	git	77f53cb2ca8807c4a93d717e9206ea8348d3eabbd78f56f4f3367b0678152054	53	5	2
languages/rust/RUST-TOOLING-STANDARDS.md	profile	yes	language-profile	split	git	16d689f3623120f1033ca7405c51f9519d7edeaaa0fca8caf51ea42a0372e1f7	272	12	4
languages/rust/RUST-UNSAFE-STANDARDS.md	profile	yes	language-profile	refine	git	8a1d019c135656987c44e42687fa94f47fbf0d09dcd1820f81dd8be2b8e85e45	113	6	5
prompts/full-codebase-standards-refactor.md	local-only-prompt	derived	workflow	decide-versioning	snapshot	43cbe91f28cf4cde48a1402085625abb4e5a7b1c29ace6bf903bdfe4d6e5de4f	45	3	8
prompts/implement-plan.md	local-only-prompt	derived	workflow	decide-versioning	snapshot	980529a52fa1c0d1de2fc1dc88ec5575a9a3eac4a15bc8a67e2c8e8ea5ae5106	90	7	1
prompts/planning.md	local-only-prompt	derived	workflow	decide-versioning	snapshot	636141576865fb4aae529ed59d4363dd7cc1a63158be2b0c30bb459c036b12cb	14	0	0
templates/PLAN-TEMPLATE.md	template	derived	workflow	align	git	06cd9853bbf36b01f0f93b5a38152377996d69154a983e6bb306e55976ef7310	162	29	1
templates/PULL_REQUEST_TEMPLATE.md	template	derived	reference	align	git	e9d154dacb86987e84876f6648ec42c4edd157a9bcece313781f649117508860	45	11	1
templates/README-TEMPLATE.md	template	derived	reference	split	git	c6eefbe2a2cc51ebb7953130df941e8c80c20b6f93d1c10497164f54baf643e2	146	18	2
plans/architecture-standards-runtime-boundaries-upgrade-plan.md	plan	no	reference	archive	git	42d627b5742b8e04eb2354406a3ec3a2f751883b4637dc68437a32df6a23c38a	321	32	5
plans/documentation-traceability-upgrade-plan.md	plan	no	reference	archive	git	7f00c68484e3bc465594cd2da9c2ac41321bfd67b8a1eaf48fb273a08a0a6ab1	193	30	7
plans/standards-library-effectiveness-restructure-plan.md	plan	no	active-plan	keep	git	f5aa527103a97014da84fcd2e611cf350437641671510a7ddae623991748e665	455	32	17
