candidate_id	package_id
numeric-074d5bafd30208cacadd3040c7c03dd00c19b534aea7f01c4d0f2eee05c9bb0c	PPR-C2
numeric-255f198a14afab0a389b65554d330b1abd6ffbef9243022313d2219245606726	PPR-C2
numeric-25d524940def5d07b8fa11f9a47a6f36a4d1fddea5568d7fbbc732e348a1d494	PPR-C2
numeric-4e93ea274872e4350df4659f52ecd48e352db473fb20b8d88c1f0168afd6f7d2	PPR-C2
numeric-5174b196f0f5a21f1125b2c27d4f5f72ead21b600acc0c3b91bb4d2ac5561911	PPR-C2
numeric-51ea9c71e16816a3347d06547330da2a2cc66839fe9d36da1f3e0ff3d5c12dde	PPR-C2
numeric-625da0e634bc995f6cc8fb3f80cede66f533c2850a61df9796ca1fb25ea0eef6	PPR-C2
numeric-6f6f6d9553708556e49a2d964029ba39ff873a2855addb4af20f56afab6bd365	PPR-C2
numeric-7e140d3c8fd1c4021ebc7317a2250eb3e17c0c3db4cdaa874f99bd458a69d678	PPR-C2
numeric-9910f12d48b7ef8f70251bf9e87c3d2d34cb156de18c4101a56e5205f766c42d	PPR-C2
numeric-e058ef8ee94ad10c212c8da56ec536e2a8f5ea7f336641b3eadbebcd139358cd	PPR-C2
numeric-f38b32b1700f638ae75fd4a3a591575cd39dc13c85736ac729eb83dcac7b546b	PPR-C2
numeric-f7ef90a008662e7a3ef1d33be0fc45005cf0422397195753d942008da9bb1168	PPR-C2
