id	current_path	line	future_owner	disposition	heading
STD-0001	README.md	1	STANDARDS-ROUTER.md	replace-with-router	Standards Library
STD-0002	README.md	5	STANDARDS-ROUTER.md	replace-with-router	Quick Start
STD-0003	README.md	14	STANDARDS-ROUTER.md	replace-with-router	Documents
STD-0004	README.md	37	STANDARDS-ROUTER.md	replace-with-router	Templates
STD-0005	README.md	50	STANDARDS-ROUTER.md	replace-with-router	Customization
STD-0006	README.md	59	STANDARDS-ROUTER.md	replace-with-router	License
STD-0007	ACCESSIBILITY-STANDARDS.md	1	topics/accessibility.md	move-and-index	Accessibility Standards
STD-0008	ACCESSIBILITY-STANDARDS.md	5	topics/accessibility.md	move-and-index	Core Principle: Use Semantic Elements
STD-0009	ACCESSIBILITY-STANDARDS.md	18	topics/accessibility.md	move-and-index	Interactive Elements
STD-0010	ACCESSIBILITY-STANDARDS.md	20	topics/accessibility.md	move-and-index	Use `<button>` for Actions
STD-0011	ACCESSIBILITY-STANDARDS.md	50	topics/accessibility.md	move-and-index	Use `<a>` Only for Navigation
STD-0012	ACCESSIBILITY-STANDARDS.md	68	topics/accessibility.md	move-and-index	When a Generic Element Must Be Interactive
STD-0013	ACCESSIBILITY-STANDARDS.md	93	topics/accessibility.md	move-and-index	Keyboard Navigation
STD-0014	ACCESSIBILITY-STANDARDS.md	95	topics/accessibility.md	move-and-index	All Interactive Elements Must Be Keyboard-Accessible
STD-0015	ACCESSIBILITY-STANDARDS.md	100	topics/accessibility.md	move-and-index	Focus Indicators
STD-0016	ACCESSIBILITY-STANDARDS.md	115	topics/accessibility.md	move-and-index	Dialog Focus Management
STD-0017	ACCESSIBILITY-STANDARDS.md	124	topics/accessibility.md	move-and-index	Labels and Names
STD-0018	ACCESSIBILITY-STANDARDS.md	126	topics/accessibility.md	move-and-index	Every Interactive Element Needs an Accessible Name
STD-0019	ACCESSIBILITY-STANDARDS.md	149	topics/accessibility.md	move-and-index	Form Inputs Need Labels
STD-0020	ACCESSIBILITY-STANDARDS.md	162	topics/accessibility.md	move-and-index	Images and Media
STD-0021	ACCESSIBILITY-STANDARDS.md	164	topics/accessibility.md	move-and-index	Decorative vs Informative Images
STD-0022	ACCESSIBILITY-STANDARDS.md	174	topics/accessibility.md	move-and-index	Icon Components
STD-0023	ACCESSIBILITY-STANDARDS.md	191	topics/accessibility.md	move-and-index	Linting Enforcement
STD-0024	ACCESSIBILITY-STANDARDS.md	193	topics/accessibility.md	move-and-index	Required ESLint Plugin
STD-0025	ACCESSIBILITY-STANDARDS.md	201	topics/accessibility.md	move-and-index	Recommended Rules
STD-0026	ACCESSIBILITY-STANDARDS.md	214	topics/accessibility.md	move-and-index	CI Gate
STD-0027	ARCHITECTURE-PATTERNS.md	1	reference/patterns/architecture.md	split-and-index	Architecture Patterns
STD-0028	ARCHITECTURE-PATTERNS.md	5	reference/patterns/architecture.md	split-and-index	Layered Separation of Concerns
STD-0029	ARCHITECTURE-PATTERNS.md	7	reference/patterns/architecture.md	split-and-index	The Pattern
STD-0030	ARCHITECTURE-PATTERNS.md	23	reference/patterns/architecture.md	split-and-index	Layer Responsibilities
STD-0031	ARCHITECTURE-PATTERNS.md	32	reference/patterns/architecture.md	split-and-index	Dependency Rule
STD-0032	ARCHITECTURE-PATTERNS.md	44	reference/patterns/architecture.md	split-and-index	Benefits
STD-0033	ARCHITECTURE-PATTERNS.md	50	reference/patterns/architecture.md	split-and-index	Layering Is Not Simplicity By Itself
STD-0034	ARCHITECTURE-PATTERNS.md	63	reference/patterns/architecture.md	split-and-index	Monorepo Package Roles
STD-0035	ARCHITECTURE-PATTERNS.md	65	reference/patterns/architecture.md	split-and-index	The Pattern
STD-0036	ARCHITECTURE-PATTERNS.md	74	reference/patterns/architecture.md	split-and-index	Common Roles
STD-0037	ARCHITECTURE-PATTERNS.md	87	reference/patterns/architecture.md	split-and-index	Dependency Direction
STD-0038	ARCHITECTURE-PATTERNS.md	110	reference/patterns/architecture.md	split-and-index	Why This Helps
STD-0039	ARCHITECTURE-PATTERNS.md	117	reference/patterns/architecture.md	split-and-index	Example Decision
STD-0040	ARCHITECTURE-PATTERNS.md	125	reference/patterns/architecture.md	split-and-index	Backend-Owned Data
STD-0041	ARCHITECTURE-PATTERNS.md	127	reference/patterns/architecture.md	split-and-index	The Pattern
STD-0042	ARCHITECTURE-PATTERNS.md	139	reference/patterns/architecture.md	split-and-index	Rules
STD-0043	ARCHITECTURE-PATTERNS.md	154	reference/patterns/architecture.md	split-and-index	Data Flow
STD-0044	ARCHITECTURE-PATTERNS.md	163	reference/patterns/architecture.md	split-and-index	No Optimistic Updates for Backend-Owned Data
STD-0045	ARCHITECTURE-PATTERNS.md	194	reference/patterns/architecture.md	split-and-index	Benefits
STD-0046	ARCHITECTURE-PATTERNS.md	202	topics/contracts.md	move-from-pattern-catalog	Immutable Contracts
STD-0047	ARCHITECTURE-PATTERNS.md	204	topics/contracts.md	move-from-pattern-catalog	The Pattern
STD-0048	ARCHITECTURE-PATTERNS.md	216	topics/contracts.md	move-from-pattern-catalog	Contract Rules
STD-0049	ARCHITECTURE-PATTERNS.md	223	topics/contracts.md	move-from-pattern-catalog	Example Contract
STD-0050	ARCHITECTURE-PATTERNS.md	242	topics/contracts.md	move-from-pattern-catalog	Benefits
STD-0051	ARCHITECTURE-PATTERNS.md	250	topics/contracts.md	move-from-pattern-catalog	Executable Boundary Contracts
STD-0052	ARCHITECTURE-PATTERNS.md	252	topics/contracts.md	move-from-pattern-catalog	The Pattern
STD-0053	ARCHITECTURE-PATTERNS.md	267	topics/contracts.md	move-from-pattern-catalog	Plain Types vs Executable Contracts
STD-0054	ARCHITECTURE-PATTERNS.md	280	topics/contracts.md	move-from-pattern-catalog	Contract Requirements
STD-0055	ARCHITECTURE-PATTERNS.md	311	topics/contracts.md	move-from-pattern-catalog	Packaging Guidance
STD-0056	ARCHITECTURE-PATTERNS.md	320	topics/contracts.md	move-from-pattern-catalog	Contract Cost Test
STD-0057	ARCHITECTURE-PATTERNS.md	339	topics/contracts.md	move-from-pattern-catalog	Benefits
STD-0058	ARCHITECTURE-PATTERNS.md	347	topics/contracts.md	move-from-pattern-catalog	Structured Producer-Consumer Contracts
