order	wave	start_id	end_id	source	owner	owner_state	activation	checkpoint
1	trust-boundaries	STD-0588	STD-0591	SECURITY-STANDARDS.md	topics/security.md	exists	pre-slice-review	focused
2	trust-boundaries	STD-0474	STD-0482	INTEROP-STANDARDS.md	profiles/boundaries/interop.md	exists	pre-slice-review	focused
3	trust-boundaries	STD-0776	STD-0780	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profiles/languages/rust/language-bindings.md	exists	pre-slice-review	focused
4	trust-boundaries	STD-0797	STD-0797	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profiles/languages/rust/language-bindings.md	exists	pre-slice-review	focused
5	trust-boundaries	STD-0804	STD-0809	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profiles/languages/rust/language-bindings.md	exists	pre-slice-review	focused
6	trust-boundaries	STD-0294	STD-0299	CROSS-PLATFORM-STANDARDS.md	topics/cross-platform.md	exists	owner-review	focused
7	trust-boundaries	STD-0761	STD-0771	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profiles/languages/rust/language-bindings.md	exists	owner-review	focused
8	trust-boundaries	STD-0782	STD-0789	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profiles/languages/rust/language-bindings.md	exists	owner-review	focused
9	trust-boundaries	STD-0792	STD-0793	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profiles/languages/rust/language-bindings.md	exists	owner-review	focused
10	trust-boundaries	STD-0826	STD-0826	languages/rust/RUST-SECURITY-STANDARDS.md	profiles/languages/rust/security.md	exists	owner-review	full-suite
11	lifecycle-runtime	STD-0119	STD-0125	ARCHITECTURE-PATTERNS.md	topics/resilience.md	exists	owner-review	focused
12	lifecycle-runtime	STD-0269	STD-0269	CONCURRENCY-STANDARDS.md	topics/concurrency.md	exists	pre-slice-review	focused
13	lifecycle-runtime	STD-0273	STD-0279	CONCURRENCY-STANDARDS.md	topics/concurrency.md	exists	pre-slice-review	focused
14	lifecycle-runtime	STD-0487	STD-0512	LAUNCHER-STANDARDS.md	profiles/applications/launcher.md	exists	owner-review	full-suite
15	process-dependencies	STD-0135	STD-0194	CODING-STANDARDS.md	CORE-STANDARDS.md	exists	pre-slice-review	focused
16	process-dependencies	STD-0300	STD-0348	DEPENDENCY-STANDARDS.md	topics/dependencies.md	exists	pre-slice-review	focused
17	process-dependencies	STD-0513	STD-0530	PLAN-STANDARDS.md	workflows/planning.md	exists	pre-slice-review	focused
18	process-dependencies	STD-0602	STD-0653	TESTING-STANDARDS.md	workflows/verification.md	exists	pre-slice-review	focused
19	process-dependencies	STD-0654	STD-0703	TOOLING-STANDARDS.md	workflows/tooling.md	exists	pre-slice-review	focused
