candidate_id	semantic_class
numeric-c741df467da9987ceb4e06ab991f0b1bef1b1bca8738412a9569a56f1e3f1c8e	structural-multiplicity
numeric-070b46ea6851a299901e4b4975a6de46b85551f8081f1b3809d9c7f1c4526728	declared-finite-contract
numeric-db9569d02a536649773076723f4e7253f03c46154b9e945562180d3ee00867dc	structural-multiplicity
numeric-87f633ffbb9133edf3545d825d761b356642877d387637dffa745bc0bf6205fc	declared-finite-contract
numeric-640b99046fa16e12823bd8c2f249ae8ad127f4d1a8bcb5fc8b4d6b93063bfc26	declared-finite-contract
numeric-112ed4f75ac4012ad6ae757e65800e44c261b30469405af2a7d6fd6834e0b157	declared-finite-contract
numeric-1daede15f33da32aa9d63104ec27d006d9a208be99e8d8f34d3c684f942eda53	declared-finite-contract
numeric-73b3cfb568fe3ad8e783f3dac690c37203e27271dfc61fb2d94023e248c9ed06	structural-multiplicity
numeric-947e947b169de878050dd0ad46f549f4d490a3e2146f6be1f678beeff82d1720	declared-finite-contract
numeric-621a81639da4c5777c4b479d58c78e1b471085d306ac94af896f5b64886c76dd	declared-finite-contract
numeric-e92caf6564a2c68585d150ad8095109f8a5cee63cbc585be76c07c9b5ab48550	declared-finite-contract
numeric-8b1c7a77ffaa7c3162c63ab02543b759eeb5d5c53d94864105db6fc5db91e5af	mutable-aggregate
numeric-f2bb11147758a018b79ae9c3241441b9c8748842d3598a3bfd48b0a10193a4f3	declared-finite-contract
numeric-56c978835fd3d5fb7373de3586204b5732eff559ecb92da947860b16a2ed0086	structural-multiplicity
numeric-4e23bbfd5eb9a79128b37902c4877a702ae4de206b7f92f254a935fd8c70a32f	mutable-aggregate
numeric-229d874e34022245c9dbe31ff7c40f0895c4710e055d344cf77a2fb7cec73563	declared-finite-contract
numeric-b403d5890eab71007355375038f4253347874625093107d992eedc6cf911650a	structural-multiplicity
numeric-17115ee8e3599f4014f28f68b40a1655e45c84d01d1caa0f52bc078628a85675	mutable-aggregate
numeric-0fad61fe4b7366371ddba4ca85b810070508697f20945eb8702f4c9ee56f55ee	declared-finite-contract
numeric-f96d21bbc3f73b3ae8c1cc1f859eb082eb3458f4380fcb25ccede91b32d37160	mutable-aggregate
numeric-434be338b1acb62f16ba38a7303857b1b5b9aad079cd0934387293b71f32e73f	declared-finite-contract
numeric-74fe05923231a7d7858aca3bd40a49773293d1ba67f14507a2fc7b38a30ef82d	structural-multiplicity
numeric-e0cc6d49b77bb7fe817b8dce259e497f765baee11fb8489d4c09b72a453d4524	declared-finite-contract
numeric-6b330fbf405a25638f7faea2aec9361fbbb933f8ca0c3f8b9563d513e91879e7	declared-finite-contract
numeric-9ae6910df189c32fe821953e4278cef2ce2a1521983ed2f78db76e803994e3a3	declared-finite-contract
numeric-3e52b9042d5ec85480ceacc963f969864bf26185be4f1579923b2e8eea8b3b42	declared-finite-contract
numeric-7dfb7b66b4f10a39d700c75ad3ca0060c60e20b1316155d55b30e0ebed120b68	declared-finite-contract
numeric-c37a8efb35a736578fde2fe64cd1c23c970a6c3e86dbba10d165813312467169	declared-finite-contract
numeric-d8caa2e7ebd66f74f96b19aebdf9e4d9c66adca705427bbcea7cf2acd3a9c8c8	policy-threshold
numeric-7b4f6eb5448fa3837e629d6f0c23efd6e43b4a87a6efd37add6d7b7d09259cc5	structural-multiplicity
numeric-a8dfe09da1046e3029d0aa97dcb5e02ae7dd263a6018e7a70d9853e730cf9bd6	mutable-aggregate
numeric-70b00865d4560b64dc2b98b19d8aeb2ba1604500982cc26ed3e6df6189aeecc5	declared-finite-contract
numeric-16a8964a374f6ac3f8fe7ae97f392a8a508d15e7e8e461eca1d19d6971c248dd	declared-finite-contract
numeric-cf27f216ab566774f59ff5b7acc4fe2b97675afe5eed7e223c78c6ecb0884bc4	declared-finite-contract
numeric-88771167df6887bdef7f2165f4da5d3d9f1e399638384b34da2e28d83be9d39c	declared-finite-contract
numeric-a787bb822ca210a032da6eb16060ff5417242e773ee12e6f54d1b870ff5be167	declared-finite-contract
numeric-4b41b904f41591bdff595018b70c4fee122084005ed1fbfde8d9c8c4daadb57e	declared-finite-contract
numeric-de17fc15314bc8276b29a6fa81308ed964378c5f34d4412fff0d11e05f10989c	declared-finite-contract
numeric-90b22b8fc07e55a695e453dbea5257133a9e894cf21cd02bb7160e1233612e3a	declared-finite-contract
numeric-8ac35e785fe4c73cba0f24389fff222fcf2ab597b8bc5c905f6ffe8aedae4411	declared-finite-contract
numeric-da03b5244d24325016d55e4d099dc7cb59392468849e4b16d29517747a98cca3	declared-finite-contract
numeric-ff8cc9ce11912128203e3bb67f235bc9055775b468e31f6cf6e75528ba89900e	declared-finite-contract
numeric-a605efff1f6600e91112d4e838d77ce9a37a8e3a231848e692b192c1cf1334a3	declared-finite-contract
numeric-941d345d21796230e3007d2de5b4a0ba24e0b03c024d096c6492d5df689ab970	declared-finite-contract
numeric-4e768bd2422848e2ff5a4fdf9f57d0ef0c850b57bfa3e11a0904b19dde4faf26	declared-finite-contract
numeric-70a9907442fcffc3500549490be15da24b83d9b5840b188266d2128fb81a636e	structural-multiplicity
numeric-1fdcbb299506c477e82204d004f440b7473b1c7d3f75969ecc402ffdf1737325	mutable-aggregate
numeric-2d195efdf9eef74f7184c6fee883a7ab93d33ddce0facb1399889419e384edad	declared-finite-contract
numeric-9d952c2657dbc89b4de3f5c782549c9e6b08595953a4685c01a465c1674a225c	declared-finite-contract
numeric-1b93ae1ca483bd8a4d17af6ab382fd610309a3b359b3a3cff2ab3ec3825be95e	declared-finite-contract
numeric-91b18b379c4ad83df934513e3d0c2d0bf7af0928564db42d63a8afd80f628762	declared-finite-contract
numeric-813d5b668a35d4b64437a3e6db0cbcf06b1c51a8ad0bca36d16ce805f6fcb3ef	structural-multiplicity
numeric-17b108f85a0bfab27c582892405325d354d734aee2626449f1ac7dd16d97f406	declared-finite-contract
numeric-c4a025d851e8c91f3895f0583e4203908306fa9990b2db1fa06d51910ec59738	declared-finite-contract
numeric-697225663f03b3aed85ca4bc8f201cdcce886be4e77fb4894e990719497b540e	declared-finite-contract
numeric-0fe6f781d595638d27305d29fc8540c22575061c8b8f46764d58f31005d9f6a4	declared-finite-contract
numeric-974c35d8bbe5a139f40bbea4fb877e97f31ccf713ea3ab3ae4b40cfd7e772f5d	declared-finite-contract
numeric-4d33b7e8c8a50663841244cf58f33395fe809e6aedafeafc37257fe2b18816da	declared-finite-contract
numeric-8361a10c999272afaf3d14bbb5575af7156d39e741b82468acb3bed5dae257d2	declared-finite-contract
numeric-9c2520ee09fe68ba8780208ac3010c0be462c3ea177b8df3a99f2e21a85fb582	declared-finite-contract
numeric-72185ba798c19faf118ed13e80ad4e391ab139bab3186c539d7ff71af2ae4abc	declared-finite-contract
numeric-4df8bbab46ab5580e8c79caf6a46b3941b92bb28dded7c1431fcd6692558aea8	declared-finite-contract
numeric-0e5770f652b258289736c08c81e7717c673dcf70af230a6aa7e895352915353b	declared-finite-contract
numeric-49489e18915c52eaec6f865c75bfb68b8a0bf717eac33572852006829ef70853	declared-finite-contract
numeric-99d2ffb038fcb5d74a9a8065af6df88f0c9c5894aa520bdbf77e4c1500bd3798	declared-finite-contract
numeric-5d19eb00d2dfe547e4fa9ef12e8f84910e31d9d375e6bf75e56054c78822add8	declared-finite-contract
numeric-54b6d26f81aa8d76518ee75bc451e896ab030926010d86189f7158eab5f87f75	declared-finite-contract
numeric-cd19e023aec8fc10e03915943bbcf57c017590a9dc8e9a4136d775172ad72687	declared-finite-contract
numeric-1d13a6f4f2d678f9f03abacd1a61e304aca4109023b8b06601f3d714d53d5eac	declared-finite-contract
numeric-3c0348dd37aafde0fb1782b94217a99705741ac4d1eb2a0ccc61148a93c51048	declared-finite-contract
numeric-9eebc16b342510e7bf1af8401746a803c51fd5ab3424858ce0d917cc6f6fc4dd	declared-finite-contract
numeric-87f3483ba05da6bdeabf72739a14d8c55490d320ec1dcbdb1cff06161c22343e	declared-finite-contract
numeric-ec3a15eb50478f7fc227f38c2f82b987093b48084896155b1ffc6b6e1888a1e9	declared-finite-contract
numeric-99a49fc0cb53852155637d02e7f75d3862ab57d4b5a5f1fa3ea2f87dbad9faa0	mutable-aggregate
numeric-2944561f850bb59b732ab606656879dfae2b81c6cad12cb0dc9c87d4cd4c3733	declared-finite-contract
numeric-17996e126f2d8c17719bb5010e44b155b72dd81ab1d27f6861c5e8bc342d6fe5	structural-multiplicity
numeric-b3da51f05e14aa1911d949c56a7464c0bfd775163718eb0f29a0ce4632087713	structural-multiplicity
numeric-06d09bc9649a0dfecc8c0f7f71081efebb4c8443885091ec104ef261b3fff67d	declared-finite-contract
numeric-d1f1121b4efbeeb1198ea7457a6fd17ba7203557c7e5ccd37f0ab8b72a250e3b	declared-finite-contract
numeric-ad50073a500bf42f43c4c0441a8f57b98216ac629136e493390d8cfbb36950b4	declared-finite-contract
numeric-8b1c55fe294ca5ed057f602cd6d98c9190a06490b1f42915a066a4507be1f247	structural-multiplicity
