current_path	future_owner	disposition
README.md	STANDARDS-ROUTER.md	replace-with-router
ACCESSIBILITY-STANDARDS.md	topics/accessibility.md	move-and-index
ARCHITECTURE-PATTERNS.md	reference/patterns/architecture.md	split-and-index
CODING-STANDARDS.md	CORE-STANDARDS.md	split-and-index
COMMIT-STANDARDS.md	workflows/commit.md	move-and-index
CONCURRENCY-STANDARDS.md	topics/concurrency.md	move-and-index
CROSS-PLATFORM-STANDARDS.md	topics/cross-platform.md	move-and-index
DEPENDENCY-STANDARDS.md	topics/dependencies.md	split-and-index
DOCUMENTATION-STANDARDS.md	workflows/documentation.md	split-and-index
FRONTEND-STANDARDS.md	profiles/applications/frontend.md	move-and-index
INTEROP-STANDARDS.md	profiles/boundaries/interop.md	move-and-index
LANGUAGE-BINDINGS-STANDARDS.md	profiles/boundaries/language-bindings.md	move-and-index
LAUNCHER-STANDARDS.md	profiles/applications/launcher.md	split-and-index
PLAN-STANDARDS.md	workflows/planning.md	replace-and-index
RELEASE-STANDARDS.md	workflows/release.md	split-and-index
SECURITY-STANDARDS.md	topics/security.md	move-and-index
TESTING-STANDARDS.md	workflows/verification.md	split-and-index
TOOLING-STANDARDS.md	workflows/tooling.md	split-and-index
languages/README.md	STANDARDS-ROUTER.md	replace-with-router
languages/rust/RUST-API-STANDARDS.md	profiles/languages/rust/api.md	move-and-index
languages/rust/RUST-ASYNC-STANDARDS.md	profiles/languages/rust/async.md	move-and-index
languages/rust/RUST-CROSS-PLATFORM-STANDARDS.md	profiles/languages/rust/cross-platform.md	move-and-index
languages/rust/RUST-DEPENDENCY-STANDARDS.md	profiles/languages/rust/dependencies.md	move-and-index
languages/rust/RUST-INTEROP-STANDARDS.md	profiles/languages/rust/interop.md	move-and-index
languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profiles/languages/rust/language-bindings.md	split-and-index
languages/rust/RUST-RELEASE-STANDARDS.md	profiles/languages/rust/release.md	move-and-index
languages/rust/RUST-SECURITY-STANDARDS.md	profiles/languages/rust/security.md	split-and-index
languages/rust/RUST-STANDARDS.md	profiles/languages/rust/README.md	replace-with-profile-router
languages/rust/RUST-TOOLING-STANDARDS.md	profiles/languages/rust/tooling.md	split-and-index
languages/rust/RUST-UNSAFE-STANDARDS.md	profiles/languages/rust/unsafe.md	move-and-index
prompts/full-codebase-standards-refactor.md	workflows/planning.md	replace-with-derived-entrypoint
prompts/implement-plan.md	workflows/implementation.md	replace-with-derived-entrypoint
prompts/planning.md	workflows/planning.md	replace-with-derived-entrypoint
templates/PLAN-TEMPLATE.md	workflows/planning.md	align-derived-template
templates/PULL_REQUEST_TEMPLATE.md	workflows/implementation.md	align-derived-template
templates/README-TEMPLATE.md	workflows/documentation.md	align-derived-template
